Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO),base_item,correct_option_text,presentation_order,correct_option_pos,distractor_positions,original_option_mapping,seed,condition,run,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_Gpt2-1.5B,tok_Llama-3-8B
C1_15_UA_I,unambiguous,ironic,They,sleep over,hyperactive,positive,"After the sleepover, they were hyperactive.",They said: ,"""We never felt more tired in our lifes.""","a. They rested the heavy boxes on the floor.
b. They did sleep overs once a year.
c. They felt really exhausted after the sleepover.
d. They felt very well-rested after the sleepover.",Betti,,,C1_15,They felt really exhausted after the sleepover.,15,c,"['a', 'b', 'd']","['c', 'd', 'b', 'a']",1,UA_I,1,177,184,168,168,178,169
C1_16_UA_NI,unambiguous,non-ironic,I,exam,hyperactive,positive,"Right before my exam, I felt really hyperactive.",I said:,"""I have never felt more ready.""","a. Deep down I felt completely unprepared for the exam.
b. The exam started at nine o'clock.
c. I felt fully prepared and ready for the exam.
d. Dinner was ready by seven o'clock.",,,,C1_16,I felt fully prepared and ready for the exam.,111,c,"['a', 'b', 'd']","['b', 'd', 'a', 'c']",1,UA_NI,1,175,183,166,166,176,167
C1_17_A_I,ambiguous,ironic,She,idea,old ,positive,She had an old idea.,She said:,"""Truly ahead of its time.""","a. Her idea was innovative.
b. She had the idea to redecorate her office.
c. Her idea was outdated.
d. She had arrived early.",Stella,Kristina,,C1_17,Her idea was outdated.,241,c,"['a', 'b', 'd']","['a', 'd', 'b', 'c']",1,A_I,1,156,166,150,150,159,151
C1_18_A_NI,ambiguous,non-ironic,He,approach,old,positive,It was an old approach. ,He said:,"""How refreshingly innovative.""","a. He found the approach genuinely new and creative.
b. In his view, it was a stale approach he had seen many times before.
c. Refreshments were served at the end of the presentation.
d. He researched new approaches for several months.",Stella,Kristina,,C1_18,He found the approach genuinely new and creative.,134,a,"['b', 'c', 'd']","['a', 'b', 'c', 'd']",1,A_NI,1,175,187,167,167,176,168
C1_19_UA_I,unambiguous,ironic,She,tradition ,ancient,positive,The tradition was ancient.,She said:,"""How wonderfully timeless.""","a. To her, the tradition felt stale and long past its use.
b. She read about the tradition in a local history book.
c. She found the tradition beautifully enduring and meaningful.
d. The clock ticked for over a century.",Stella,Kristina,,C1_19,"To her, the tradition felt stale and long past its use.",209,a,"['b', 'c', 'd']","['b', 'd', 'a', 'c']",1,UA_I,1,169,180,162,162,171,163
C1_20_UA_NI,unambiguous,non-ironic,She,car,ancient,positive,She bought an ancient car.,She says:,"""I just love the new car smell.""","a. She could smell what her husband was cooking.
b. She took her car to the gas station.
c. She was disappointed with the smell of her car.
d. She liked the smell of her car.",Stella,Kristina,,C1_20,She liked the smell of her car.,87,d,"['a', 'b', 'c']","['c', 'd', 'b', 'a']",1,UA_NI,1,169,175,161,161,170,162
C1_21_A_I,ambiguous,ironic,She,birthday,happy,positive,She left the birthday party feeling happy.,She says:,"""Truly a night to remember.""","a. She had trouble remembering things.
b. The birthday party was a disappointment.
c. She planned her next birthday party.
d. The birthday party was a great success.",Stella,Kristina,,C1_21,The birthday party was a disappointment.,247,b,"['a', 'c', 'd']","['c', 'b', 'd', 'a']",1,A_I,1,161,169,154,154,163,155
C1_22_A_NI,ambiguous,non-ironic,She,wedding,happy,positive,She left the wedding feeling happy.,She says:,"""What a magical day.""","a. The magician wowed all the guests at the reception.
b. She helped organise the flowers for the wedding beforehand.
c. The wedding had been a dull, disappointing event from start to finish.
d. The wedding was a beautiful and enchanting occasion.",Stella,Kristina,,C1_22,The wedding was a beautiful and enchanting occasion.,8,d,"['a', 'b', 'c']","['c', 'd', 'b', 'a']",1,A_NI,1,175,187,168,168,177,169
C1_23_UA_I,unambiguous,ironic,They,cinema,delighted,positive,They left the cinema feeling delighted.,They say:,"""What a painfull film.""","a. The injection was over quickly, but it was painful.
b. They went to the same cinema as always.
c. They had found the film dull from start to finish.
d. They had found the film funny from start to finish.",Stella,Kristina,,C1_23,They had found the film funny from start to finish.,4,d,"['a', 'b', 'c']","['c', 'd', 'a', 'b']",1,UA_I,1,174,180,166,166,175,167
C1_24_UA_NI,unambiguous,non-ironic,She,message,delighted,positive,She received a message and was delighted.,She says:,"""These are amazing news.""","a. What she read was news to her.
b. The message brought negative news.
c. The message brought good news.
d. She wanted to send a message.",Stella,Kristina,,C1_24,The message brought good news.,21,c,"['a', 'b', 'd']","['c', 'b', 'a', 'd']",1,UA_NI,1,159,165,151,151,160,152
C1_25_A_I,ambiguous,ironic,She,exam,intelligent,positive,Her answers in the exam were intelligent.,She says:,"""What a genius.""","a. Her exam answers were impressively smart.
b. She studied for her next exam.
c. Her exam answers were embarrassingly poor.
d. She had a high IQ.",Stella,Kristina,,C1_25,Her exam answers were embarrassingly poor.,181,c,"['a', 'b', 'd']","['a', 'd', 'b', 'c']",1,A_I,1,159,167,152,152,161,153
C1_26_A_NI,ambiguous,non-ironic,They,suggestion,intelligent,positive,Their colleague's suggestion was intelligent.,They said:,"""We really had luck with that one.""","a. They were genuinely fortunate to have such a strong suggestion.
b. As far as they were concerned, it was a poor suggestion.
c. They got lucky at the casino.
d. They thought that every project starts with a suggestion.",Stella,Kristina,,C1_26,They were genuinely fortunate to have such a strong suggestion.,133,a,"['b', 'c', 'd']","['a', 'b', 'c', 'd']",1,A_NI,1,176,183,167,167,176,168
C1_27_UA_I,unambiguous,ironic,She,argument,brilliant,positive,His argument in the debate was brilliant.,She says:,"""What a master of rhetoric.""","a. Sokrates was a master of rhetoric.
b. She had an argument with him that night.
c. His argument was weak and poorly constructed.
d. His argument was strong and well presented.",Stella,Kristina,,C1_27,His argument was weak and poorly constructed.,120,c,"['a', 'b', 'd']","['c', 'd', 'b', 'a']",1,UA_I,1,166,176,158,158,167,159
C1_28_UA_NI,unambiguous,non-ironic,He,business plan,brilliant,positive,His business plan was brilliant.,She says:,"""We will make lots of money with this.""","a. She believed that his business plan would fail.
b. She was interested in making lots of money.
c. She believed that his business plan would be successful.
d. He asked a colleague for help with his business plan.",Stella,Kristina,,C1_28,She believed that his business plan would be successful.,238,c,"['a', 'b', 'd']","['b', 'c', 'a', 'd']",1,UA_NI,1,173,180,165,165,174,166
C1_29_A_I,ambiguous,ironic,He,restaurant visit,satiated,positive,After the restaurant visit he was satiated.,He says:,"""Best dinner ever.""","a. He looked forward to this restaurant visit for weeks.
b. It was the best-reviewed dinner spot in the whole city.
c. The restaurant visit was a real disappointment.
d. The restaurant visit was genuinely outstanding.",Stella,Kristina,,C1_29,The restaurant visit was a real disappointment.,50,c,"['a', 'b', 'd']","['d', 'c', 'b', 'a']",1,A_I,1,170,177,161,161,171,162
C1_30_A_NI,ambiguous,non-ironic,He,buffet ,satiated,positive,He left the buffet feeling satiated.,He says:,"""Truly a feast for the senses."" ","a. The feast was celebrated every year in their village.
b. There had been very little worth eating at the buffet.
c. The buffet was a rich.
d. Diners often have a buffet.",Stella,Kristina,,C1_30,The buffet was a rich.,68,c,"['a', 'b', 'd']","['c', 'b', 'a', 'd']",1,A_NI,1,169,182,161,161,171,162
C1_31_UA_I,unambiguous,ironic,They,picnic,full,positive,They left the picnic feeling full.,They say:,"""Food for the soul.""","a. She always kept her soul music collection in good order.
b. There was barely anything to eat; they left unsatisfied.
c. The picnic was nourishing and genuinely enjoyable.
d. They spent the morning preparing sandwiches for the picnic.",Stella,Kristina,,C1_31,There was barely anything to eat; they left unsatisfied.,27,b,"['a', 'c', 'd']","['c', 'b', 'a', 'd']",1,UA_I,1,171,187,165,165,174,166
C1_32_UA_NI,unambiguous,non-ironic,He,plate,full,positive,He looked at the empty plate in front of him and was full.,He says:,"""No way I could eat more."" ","a. The waiter had forgotten to fill his plate and he did not eat anything.
b. He went to a stylish pottery to buy a special plate.
c. His plate had been full with food and he ate it all up.
d. He prefers to eat his lunch alone.",Stella,Kristina,,C1_32,His plate had been full with food and he ate it all up.,73,c,"['a', 'b', 'd']","['b', 'd', 'a', 'c']",1,UA_NI,1,190,199,181,181,192,182
C1_33_A_I,ambiguous,ironic,She,library ,loud,positive,She walked into the library and it was loud.,She says:,"""Perfect place to concentrate.""","a. The library was far too noisy to concentrate.
b. She looked for a new book in the library.
c. She asked her colleague for a place to concentrate.
d. The library was a calm and quiet environment.",Stella,Kristina,,C1_33,The library was far too noisy to concentrate.,199,a,"['b', 'c', 'd']","['b', 'd', 'c', 'a']",1,A_I,1,172,181,164,164,173,165
C1_34_A_NI,ambiguous,non-ironic,She,concert,loud,positive,We came back from a concert which was loud.,I say:,"""I've almost gone deaf.""","a. The concert was pretty loud.
b. The concert was surprisingly quiet.
c. My grandfather is deaf.
d. I was looking forward to the next concert.",Stella,Kristina,,C1_34,The concert was surprisingly quiet.,283,b,"['a', 'c', 'd']","['b', 'a', 'c', 'd']",1,A_NI,1,162,170,153,153,162,154
C1_35_UA_I,unambiguous,ironic,She,movie,deafening,positive, She watched a movie in the theater and found it deafening.,She says:,"""It was so difficult to hear.""","a. She generally has difficulties with her hearing.
b. The movie was too quiet to hear.
c. Watching a movie in the theater is a real event.
d. The movie was very loud.",Stella,Kristina,,C1_35,The movie was very loud.,117,d,"['a', 'b', 'c']","['c', 'a', 'd', 'b']",1,UA_I,1,173,181,165,165,174,166
C1_36_UA_NI,unambiguous,non-ironic,He,music,deafening,positive,His neighbours' music was deafening.,He says:,"""It seems like they are having a great party.""","a. He would expected to hear louder music from his neighbours' party.
b. He thinks that his neighbours' are having a great party with music.
c. He likes talking about pop music.
d. He is still unsure which party to vote for in the upcoming elections.",Stella,Kristina,,C1_36,He thinks that his neighbours' are having a great party with music.,214,b,"['a', 'c', 'd']","['b', 'a', 'd', 'c']",1,UA_NI,1,185,197,177,177,186,178
C1_37_A_I,ambiguous,ironic,She,question,easy,positive,She prepared easy questions for the students.,She says:,"""I hope they're prepared for this.""","a. The questions were straightforward and required little effort.
b. She had never felt so well prepared for a meeting.
c. The questions required thorough preparation to answer.
d. She posted the question on the class forum.",Rabia,Stella,,C1_37,The questions were straightforward and required little effort.,282,a,"['b', 'c', 'd']","['b', 'c', 'a', 'd']",1,A_I,1,173,179,164,164,173,165
C1_38_A_NI,ambiguous,non-ironic,He,appointment,easy,positive,He booked an appointment through a system which was easy to use.,He says: ,"""That was about as easy as it gets.""","a. He always found parallel parking easy as it gets.
b. Booking the appointment was straightforward and effortless.
c. Booking the appointment was frustrating and difficult.
d. He decided to cancel the appointment.",Rabia,Stella,,C1_38,Booking the appointment was straightforward and effortless.,194,b,"['a', 'c', 'd']","['c', 'a', 'b', 'd']",1,A_NI,1,175,186,167,167,179,168
C1_39_UA_I,unambiguous,ironic,They,task,trivial,positive,They finished a trivial task for their maths lesson.,They say:,"""We must be very smart.""","a. Anyone could have done the task, no special abilities required.
b. They were always smart about managing their money.
c. They were given another task after the math lesson.
d. Completing the task was a genuine sign of intelligence.",Rabia,Stella,,C1_39,"Anyone could have done the task, no special abilities required.",80,a,"['b', 'c', 'd']","['b', 'c', 'd', 'a']",1,UA_I,1,177,185,169,169,178,170
C1_40_UA_NI,unambiguous,non-ironic,He,payment,trivial,positive,He made a payment through a website which was trivial to use.,He says: ,"""Technology at its finest.""","a. Making the payment was complicated and painful.
b. Making the payment was a smooth and effortless experience.
c. He always thought the finest restaurants required a reservation.
d. He decided to cancel the payment altogether.",Rabia,Stella,,C1_40,Making the payment was a smooth and effortless experience.,145,b,"['a', 'c', 'd']","['b', 'a', 'c', 'd']",1,UA_NI,1,174,184,166,166,176,167
C1_41_A_I,ambiguous,ironic,She,kitchen,dirty,positive,She finished cooking and the kitchen was dirty.,She says:,"""I'm the sort of person who likes to keep things tidy.""","a. The apartment came with a fully equipped kitchen.
b. Her kitchen was a mess.
c. Children should regularly tidy up their rooms.
d. Her kitchen was tidy.",Rabia,Stella,,C1_41,Her kitchen was a mess.,206,b,"['a', 'c', 'd']","['d', 'b', 'c', 'a']",1,A_I,1,170,179,161,161,170,162
C1_42_A_NI,ambiguous,non-ironic,They,room,dirty,positive,They walked into the room and found it dirty.,They said:,“Looks like you didn’t wait too long to clean it.”,"a. The room was tidied up well before it got too messy.
b. They decided to book a different room altogether.
c. They never had to wait long for a table.
d. The room was left in a terrible state for far too long.",Rabia,Stella,,C1_42,The room was tidied up well before it got too messy.,223,a,"['b', 'c', 'd']","['a', 'd', 'c', 'b']",1,A_NI,1,189,196,179,179,194,180
C1_43_UA_I,unambiguous,ironic,They,street,filthy,positive,The street was filthy.,They say: ,"""Such a beautiful walk.""","a. The street was far from pretty.
b. They went for a walk in the park.
c. A dog was barking on the street.
d. The street was genuinely pleasant.",Rabia,Stella,,C1_43,The street was far from pretty.,95,a,"['b', 'c', 'd']","['b', 'c', 'd', 'a']",1,UA_I,1,160,168,153,153,161,154
C1_44_UA_NI,unambiguous,non-ironic,She,floor,filthy,positive,The floor was filthy.,She says:,"""You could practically eat off the floor here.""","a. The floor was very clean.
b. She could eat a whole cake.
c. The dance floor was very empty.
d. The floor was very dirty.",,Stella ,,C1_44,The floor was very clean.,12,a,"['b', 'c', 'd']","['a', 'c', 'd', 'b']",1,UA_NI,1,159,166,151,151,160,152
C1_45_A_I,ambiguous,ironic,They,movie,funny,positive,They watched a funny movie.,They say:,"""That was the perfect movie for a laugh.""","a. They saw three movies that week.
b. The movie wasn't amusing.
c. The movie was funny and great.
d. They had such a perfect night.",Rabia,Stella,,C1_45,The movie wasn't amusing.,115,b,"['a', 'c', 'd']","['d', 'b', 'a', 'c']",1,A_I,1,162,169,153,153,162,154
C1_46_A_NI,ambiguous,non-ironic,She,musical,funny,positive,The musical she watched was really funny.,She says:,"""That cracked me up.""","a. The musical left her deeply moved.
b. The joke cracked everyone up.
c. The musical was purely for laughs.
d. She answered some questions about the musical.",Rabia,Stella,,C1_46,The musical left her deeply moved.,36,a,"['b', 'c', 'd']","['a', 'c', 'b', 'd']",1,A_NI,1,160,167,152,152,161,153
C1_47_UA_I,unambiguous,ironic,She,situation,hilarious,positive,The situation was hilarious.,She says:,"""Truly something to laugh about.""","a. The situation was far too serious.
b. She tried to make the best of the situation.
c. She always found it hard to laugh about things.
d. The situation was genuinely amusing.",Rabia,Stella,,C1_47,The situation was far too serious.,79,a,"['b', 'c', 'd']","['b', 'd', 'c', 'a']",1,UA_I,1,163,173,156,156,165,157
C1_48_UA_NI,unambiguous,non-ironic,He,talk,hilarious,positive,His talk was hilarious. ,Hey says:,"""Wow, so many jokes in one talk.""","a. The talk contained humour.
b. He was a fan of old jokes.
c. He decided to cancel the talk.
d. The talk contained no humour.",,Stella,,C1_48,The talk contained humour.,130,a,"['b', 'c', 'd']","['a', 'c', 'd', 'b']",1,UA_NI,1,160,170,152,152,161,153
C1_49_A_I,ambiguous,ironic,He,airport,good,positive,He had a good experience at the airport.,He says:,"""A complete nightmare, really.""","a. The airport experience was enjoyable.
b. He decided to book a different airport transfer.
c. The airport experience was thoroughly unpleasant.
d. He came back from his trip exhausted.",Rabia,Stella,,C1_49,The airport experience was thoroughly unpleasant.,184,c,"['a', 'b', 'd']","['a', 'd', 'b', 'c']",1,A_I,1,164,171,156,156,165,157
C1_50_A_NI,ambiguous,non-ironic,He,exam,good,positive,"He studied hard for the exam, and the results were good.",He says:,"""Well, this is amazing.""","a. He had one more exam this week.
b. The exam results were impressive
c. He always found art museums amazing.
d. The exam results were deeply disappointing.",Rabia,Stella,,C1_50,The exam results were impressive,39,b,"['a', 'c', 'd']","['d', 'a', 'c', 'b']",1,A_NI,1,165,173,158,158,166,159
C1_51_UA_I,unambiguous,ironic,They,play,excellent,positive,They left the play feeling excellent.,They said: ,"""That wasn't fun at all.""","a. They had fun eating together.
b. They found the play entertaining.
c. They liked to watch a play in their favorite theatre.
d. They found the play dull.",,,,C1_51,They found the play entertaining.,42,b,"['a', 'c', 'd']","['c', 'b', 'd', 'a']",1,UA_I,1,164,170,155,155,164,156
C1_52_UA_NI,unambiguous,non-ironic,She,meal,excellent,positive,She had an excellent meal at a restaurant.,She says:,"""That was a great restaurant visit.""","a. She found the whole meal disappointing.
b. She wanted to try the meal for months.
c. The rmeal was a genuinely enjoyable experience.
d. She always enjoyed a restaurant visit before a big day out.",,,,C1_52,The rmeal was a genuinely enjoyable experience.,110,c,"['a', 'b', 'd']","['b', 'd', 'a', 'c']",1,UA_NI,1,172,180,164,164,173,165
C1_53_A_I,ambiguous,ironic,She,ground,wet,positive,"After the weather changed, the ground became wet.",She says:,"""Perfect conditions for a picnic..""","a. She knelt in the mud to look closely at the earth.
b. The ground was dried out.
c. The ground was uneven where she stood.
d. The ground was moist and muddy after the rain.",Rabia,Asuka,,C1_53,The ground was dried out.,94,b,"['a', 'c', 'd']","['c', 'b', 'd', 'a']",1,A_I,1,172,182,164,164,174,165
C1_54_A_NI,ambiguous,non-ironic,They,garden,wet,positive,The garden was wet in the morning.,They said:,"""That’s enough water for the day.""","a. The garden was struggling without any water.
b. The garden was just watered and needed to dry out.
c. They wanted a new water feature.
d. They played some boardgames in the garden.",Rabia,Asuka,,C1_54,The garden was struggling without any water.,141,a,"['b', 'c', 'd']","['a', 'b', 'c', 'd']",1,A_NI,1,171,179,163,163,173,164
C1_55_UA_I,unambiguous,ironic,He,field,soaked,positive,The field was soaked.,He says:,"""Terrible news for anything trying to grow..""","a. He had been reading about different farming techniques.
b. He was considering buying a new tractor.
c. The plants had been wilting due to lack of water.
d. The plants had been getting plenty of moisture to grow.",Rabia,,,C1_55,The plants had been wilting due to lack of water.,108,c,"['a', 'b', 'd']","['c', 'd', 'b', 'a']",1,UA_I,1,174,183,165,165,175,166
C1_56_UA_NI,unambiguous,non-ironic,She,hair,soaked,positive,She saw her soaked hair.,She said:,"""The rain really caught me by surprise.""","a. Her hair was soaking wet.
b. Her hair was completely dry.
c. She had her hair cut short last week.
d. They organised a surprise party for him.",,,,C1_56,Her hair was soaking wet.,101,a,"['b', 'c', 'd']","['a', 'b', 'd', 'c']",1,UA_NI,1,162,171,154,154,163,155
C1_57_A_I,ambiguous,ironic,I,outfit,pretty,positive,I wore a pretty outfit to attend the award ceremony.,I say:,"""I really didn't try at all today.""","a. I admired the outfit.
b. I thought the outfit was ugly.
c. The comedians on the stage enjoyed themselves.
d. I received an amazing award.",,,,C1_57,I thought the outfit was ugly.,23,b,"['a', 'c', 'd']","['a', 'b', 'd', 'c']",1,A_I,1,166,174,158,158,166,159
C1_58_A_NI,ambiguous,non-ironic,she,car,pretty,positive,She saw a pretty car on the street.,She says:,"""That’s a real beauty.""","a. She thought the painting was beautiful.
b. She had booked a car.
c. She thought the car was ugly.
d. She admired the car.",Asuka,,,C1_58,She admired the car.,33,d,"['a', 'b', 'c']","['c', 'd', 'b', 'a']",1,A_NI,1,160,168,151,151,162,152
C1_59_UA_I,unambiguous,ironic,He,painting,stunning/beautiful,positive,He looked at a stunning painting.,He said:,"""That's hard to look at.""","a. He gave her a stern look.
b. The painting was genuinely ugly.
c. The painting was genuinely beautiful.
d. They spent the weekend for this painting.",,,,C1_59,The painting was genuinely beautiful.,175,c,"['a', 'b', 'd']","['c', 'a', 'b', 'd']",1,UA_I,1,161,167,152,152,161,153
C1_60_UA_NI,unambiguous,non-ironic,They,bird,stunning/beautiful,positive,They saw a stunning bird.,They said:,"""A real eye-catcher.""","a. They thought the bird was beautiful.
b. They had a great time on a trip.
c. They thought the bird was not beautiful.
d. The bird looked at them really closely.",,,,C1_60,They thought the bird was beautiful.,19,a,"['b', 'c', 'd']","['a', 'd', 'b', 'c']",1,UA_NI,1,163,170,155,155,165,156
C1_61_A_I,ambiguous,ironic,I,kettle,expensive,positive,I found a nice kettle which was expensive.,I said:,"""What a steal.""","a. The kettle was expensive.
b. A thief tried to steal my bag.
c. The kettle was a real bargain.
d. The kettle boiled over..",Rabia,Asuka,,C1_61,The kettle was expensive.,85,a,"['b', 'c', 'd']","['b', 'c', 'a', 'd']",1,A_I,1,157,174,149,149,158,150
C1_62_A_NI,ambiguous,non-ironic,He,vase,expensive,positive,"He broke an expensive vase.
",He said:,"""Well, there goes a priceless treasure""","a. The experience of breaking the vase was worth it.
b. The vase was worth a lot of money.
c. He went on a hike and picked up flowers.
d. The vase was not pricy.",,,,C1_62,The vase was worth a lot of money.,13,b,"['a', 'c', 'd']","['c', 'a', 'd', 'b']",1,A_NI,1,169,182,160,160,175,161
C1_63_UA_I,unambiguous,ironic,She,perfume,"overpriced
",positive,She was wearing overpriced perfume.,She said:,"""Smells like it's from a gas station.""","a. The perfume was pricy.
b. The perfume was not pricy.
c. The fragrance label was worth reading.
d. The ocean was calm and quiet.",,,,C1_63,The perfume was not pricy.,189,b,"['a', 'c', 'd']","['a', 'b', 'c', 'd']",1,UA_I,1,163,176,156,156,164,157
C1_64_UA_NI,unambiguous,non-ironic,She,bag,"overpriced
",positive,She got an overpriced bag.,She said:,"""Looks like a real designer piece.""","a. The bag was worth a lot.
b. She liked to wear that designer piece.
c. She had dark bags under her eyes.
d. The bag was worth very little.",,,,C1_64,The bag was worth a lot.,285,a,"['b', 'c', 'd']","['a', 'c', 'd', 'b']",1,UA_NI,1,162,171,156,156,164,157
C1_65_A_I,ambiguous,ironic,They,house,big,positive,They moved into a big house.,They said:,"""You can barely turn around in here.""","a. The house was red and blue.
b. They made a sharp turn at the end of the road.
c. The house felt cramped and tiny.
d. The house felt spacious and huge.",,,,C1_65,The house felt spacious and huge.,61,d,"['a', 'b', 'c']","['d', 'c', 'a', 'b']",1,A_I,1,167,175,159,159,168,160
