Item_ID,context_level,irony_label,irony_type,context_type,pronoun,tense,context,speaker,target_utterance,answering_options,notes,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_ModernBERT-8B,tok_Llama-3-8B,item_id,cg_level,topic,cg_framing,Speaker,Word Tokens,Syllable Tokens,Notes
C1B_03_H_I,unambiguous,ironic,EV,situational,they,past simple,The food arrived cold and the waiter spilled soup on their jackets.,They say:,"""That was a great restaurant visit.""","1. The restaurant visit was a good experience.
2. The restaurant visit was a bad experience.
3. They liked to visit restaurants together.
4. Some of them were vegetarians or vegans.",,176,188,170,170,175,171,,,,,,,,
C1B_03_H_N,unambiguous,non-ironic,EV,situational,they,past simple,They found the food fresh and beautifully presented and the service was attentive.,They say:,"""That was a great restaurant visit.""","1. The restaurant visit was a good experience.
2. The restaurant visit was a bad experience.
3. They liked to visit restaurants together.
4. Some of them were vegetarians or vegans.",,177,188,171,171,176,172,,,,,,,,
C1B_04_L_I,ambiguous,ironic,PC,situational,she,past simple,She travelled alone and had a connecting flight to catch on arrival.,She says:,"""What an easy flight.""","1. Her flight was calm and without any problems.
2. Her flight was stressful and chaotic all through.
3. She always thought that cooking was easy.
4. In one of the airport shops she bought a pillow.",,180,189,172,172,175,173,,,,,,,,
C1B_04_L_N,ambiguous,non-ironic,PC,situational,she,past simple,She packed light and arrived at the airport with time to spare.,She says:,"""What an easy flight.""","1. Her flight was calm and without any problems.
2. Her flight was stressful and chaotic all through.
3. She always thought that cooking was easy.
4. In one of the airport shops she bought a pillow.",,180,188,172,172,175,173,,,,,,,,
C1B_04_H_I,unambiguous,ironic,PC,situational,she,past simple,Her gate changed twice and the flight was delayed by three hours.,She says:,"""What an easy flight.""","1. Her flight was calm and without any problems.
2. Her flight was stressful and chaotic all through.
3. She always thought that cooking was easy.
4. In one of the airport shops she bought a pillow.",,180,188,172,172,175,173,,,,,,,,
C1B_04_H_N,unambiguous,non-ironic,PC,situational,she,past simple,She boarded on time and quickly collected her bags after landing.,She says:,"""What an easy flight.""","1. Her flight was calm and without any problems.
2. Her flight was stressful and chaotic all through.
3. She always thought that cooking was easy.
4. In one of the airport shops she bought a pillow.",,179,188,171,171,174,172,,,,,,,,
C1B_05_L_I,ambiguous,ironic,PC,situational,he,past perfect,He had been working on a technical issue with his account and had been looking for a solution.,He says:,"""That had been incredibly helpful.""","1. The customer service had helped him immediately.
2. The customer service had not helped him at all.
3. Before calls, he had found writing things down helpful.
4. He had had accounts several social media accounts.",,188,194,180,180,183,181,,,,,,,,
C1B_05_L_N,ambiguous,non-ironic,PC,situational,he,past perfect,He had had a question about his account and had called the customer service line for a solution.,He says:,"""That had been incredibly helpful.""","1. The customer service had helped him immediately.
2. The customer service had not helped him at all.
3. Before calls, he had found writing things down helpful.
4. He had had accounts several social media accounts.",,188,194,180,180,183,181,,,,,,,,
C1B_05_H_I,unambiguous,ironic,PC,situational,he,past perfect,"Despite his account problems, he had been transferred three times and had been disconnected without any help.",He says:,"""That had been incredibly helpful.""","1. The customer service had helped him immediately.
2. The customer service had not helped him at all.
3. Before calls, he had found writing things down helpful.
4. He had had accounts several social media accounts.",,188,195,180,180,183,181,,,,,,,,
C1B_05_H_N,unambiguous,non-ironic,PC,situational,he,past perfect,The problems with his account had been resolved after one call without any further issues.,He says:,"""That had been incredibly helpful.""","1. The customer service had helped him immediately.
2. The customer service had not helped him at all.
3. Before calls, he had found writing things down helpful.
4. He had had accounts several social media accounts.",,185,191,177,177,180,178,,,,,,,,
C1B_06_L_I,ambiguous,ironic,EV,situational,I,past simple,"I placed the order for something I needed for an event later that week.
",I say:,"""That arrived quickly.""","1. Her package arrived without any problems.
2. There were major issues with her delivery.
3. Her friend arrived quickly at their meeting point.
4. She enjoyed ordering new clothes once a month.",,177,184,169,169,173,170,,,,,,,,
C1B_06_L_N,ambiguous,non-ironic,EV,situational,I,past simple,I ordered the item with plenty of time and tracked it through the app.,I say:,"""That arrived quickly.""","1. Her package arrived without any problems.
2. There were major issues with her delivery.
3. Her friend arrived quickly at their meeting point.
4. She enjoyed ordering new clothes once a month.",,177,184,169,169,172,170,,,,,,,,
C1B_06_H_I,unambiguous,ironic,EV,situational,I,past simple,My parcel was marked delivered but was nowhere to be found for four days.,I say:,"""That arrived quickly.""","1. Her package arrived without any problems.
2. There were major issues with her delivery.
3. Her friend arrived quickly at their meeting point.
4. She enjoyed ordering new clothes once a month.",,177,184,169,169,172,170,,,,,,,,
C1B_06_H_N,unambiguous,non-ironic,EV,situational,I,past simple,My parcel arrived a day early and was left exactly where I requested.,I say:,"""That arrived quickly.""","1. Her package arrived without any problems.
2. There were major issues with her delivery.
3. Her friend arrived quickly at their meeting point.
4. She enjoyed ordering new clothes once a month.",,176,183,168,168,171,169,,,,,,,,
C1B_07_L_I,ambiguous,ironic,EV,situational,they,past simple,They travelled to an important appointment and allowed some extra time.,They say:,"""That went perfectly.""","1. The journey went smoothly without any delays.
2. The trip was completely chaotic and full of delays.
3. The timetable displayed perfectly accurate times.
4. They enjoyed travelling to new places on weekends.",,175,188,167,167,171,168,,,,,,,,
C1B_07_L_N,ambiguous,non-ironic,EV,situational,they,past simple,They made the same journey many times and knew how long it usually took.,They say:,"""That went perfectly.""","1. The journey went smoothly without any delays.
2. The trip was completely chaotic and full of delays.
3. The timetable displayed perfectly accurate times.
4. They enjoyed travelling to new places on weekends.",,178,190,170,170,174,171,,,,,,,,
C1B_07_H_I,unambiguous,ironic,EV,situational,they,past simple,Their train was cancelled and the replacement bus broke down on the motorway.,They say:,"""That went perfectly.""","1. The journey went smoothly without any delays.
2. The trip was completely chaotic and full of delays.
3. The timetable displayed perfectly accurate times.
4. They enjoyed travelling to new places on weekends.",,177,190,170,170,174,171,,,,,,,,
C1B_07_H_N,unambiguous,non-ironic,EV,situational,they,past simple,Their train arrived two minutes early and they found seats straight away.,They say:,"""That went perfectly.""","1. The journey went smoothly without any delays.
2. The trip was completely chaotic and full of delays.
3. The timetable displayed perfectly accurate times.
4. They enjoyed travelling to new places on weekends.",,176,188,168,168,172,169,,,,,,,,
C1B_08_L_I,ambiguous,ironic,EV,situational,she,past perfect,She had dropped her car off early and had been told that the repair would be straightforward.,She says:,"""That was impressively fast.""","1. The repair had been finished earlier than expected.
2. The repair had taken far longer than promised.
3. She had answered the quiz questions impressively fast.
4. She had owned an old car needing frequent maintenance.",,185,194,179,179,182,180,,,,,,,,
C1B_08_L_N,ambiguous,non-ironic,EV,situational,she,past perfect,She had been warned her car repair might take a while and had arranged alternative transport.,She says:,"""That was impressively fast.""","1. The repair had been finished earlier than expected.
2. The repair had taken far longer than promised.
3. She had answered the quiz questions impressively fast.
4. She had owned an old car needing frequent maintenance.",,184,193,178,178,181,179,,,,,,,,
C1B_08_H_I,unambiguous,ironic,EV,situational,she,past perfect,She had been told the repair would take two hours but had only got it back three days later.,She says:,"""That was impressively fast.""","1. The repair had been finished earlier than expected.
2. The repair had taken far longer than promised.
3. She had answered the quiz questions impressively fast.
4. She had owned an old car needing frequent maintenance.",,187,196,181,181,184,182,,,,,,,,
C1B_08_H_N,unambiguous,non-ironic,EV,situational,she,past perfect,Her car had been ready within an hour and they had called her before she reached home.,She says:,"""That was impressively fast.""","1. The repair had been finished earlier than expected.
2. The repair had taken far longer than promised.
3. She had answered the quiz questions impressively fast.
4. She had owned an old car needing frequent maintenance.",,185,194,179,179,182,180,,,,,,,,
C1B_09_L_I,ambiguous,ironic,US,situational,he,past simple,He booked a last-minute campsite for the weekend and drove out there on Friday evening.,He says:,"""That was a great outdoor adventure.""","1. He enjoyed his outdoor trip and had a wonderful time.
2. He disliked his outdoor trip and had a miserable time.
3. He enjoyed reading books about outdoor adventures.
4. He liked walking in forests but not hiking on mountains.",,191,202,183,183,188,184,,,,,,,,
C1B_09_L_N,ambiguous,non-ironic,US,situational,he,past simple,He got everything packed and ready the night before and drove out to a campsite for the weekend.,He says:,"""That was a great outdoor adventure.""","1. He enjoyed his outdoor trip and had a wonderful time.
2. He disliked his outdoor trip and had a miserable time.
3. He enjoyed reading books about outdoor adventures.
4. He liked walking in forests but not hiking on mountains.",,192,202,185,185,189,186,,,,,,,,
C1B_09_H_I,unambiguous,ironic,US,situational,he,past simple,His tent collapsed in the night and it rained heavily the entire weekend without a break.,He says:,"""That was a great outdoor adventure.""","1. He enjoyed his outdoor trip and had a wonderful time.
2. He disliked his outdoor trip and had a miserable time.
3. He enjoyed reading books about outdoor adventures.
4. He liked walking in forests but not hiking on mountains.",,190,200,183,183,187,184,,,,,,,,
C1B_09_H_N,unambiguous,non-ironic,US,situational,he,past simple,"The weather was absolutely perfect and he came home feeling refreshed, energised, and happy.",He says:,"""That was a great outdoor adventure.""","1. He enjoyed his outdoor trip and had a wonderful time.
2. He disliked his outdoor trip and had a miserable time.
3. He enjoyed reading books about outdoor adventures.
4. He liked walking in forests but not hiking on mountains.",,191,201,183,183,188,184,,,,,,,,
C1B_10_L_I,ambiguous,ironic,EV,situational,I,past simple,I scheduled the software update to run before an important video call that morning.,I say:,"""That was well timed.""","1. My update completed smoothly without any issues.
2. My update caused problems and wasted valuable time.
3. I always expected trains to be well timed.
4. I spent a lot of time working on the computer at home.",my ok here? > checking the pronouns in answering options,184,192,176,176,179,177,,,,,,,,
C1B_10_L_N,ambiguous,non-ironic,EV,situational,I,past simple,I scheduled the software update to run automatically and left it going while I made coffee.,I say:,"""That was well timed.""","1. My update completed smoothly without any issues.
2. My update caused problems and wasted valuable time.
3. I always expected trains to be well timed.
4. I spent a lot of time working on the computer at home.",,186,194,178,178,181,179,,,,,,,,
C1B_10_H_I,unambiguous,ironic,EV,situational,I,past simple,My software update forced a restart right as the call started and I missed the first ten minutes.,I say:,"""That was well timed.""","1. My update completed smoothly without any issues.
2. My update caused problems and wasted valuable time.
3. I always expected trains to be well timed.
4. I spent a lot of time working on the computer at home.",,188,196,180,180,183,181,,,,,,,,
C1B_10_H_N,unambiguous,non-ironic,EV,situational,I,past simple,My software update finished with ten minutes to spare and my new version ran perfectly from the start.,I say:,"""That was well timed.""","1. My update completed smoothly without any issues.
2. My update caused problems and wasted valuable time.
3. I always expected trains to be well timed.
4. I spent a lot of time working on the computer at home.",,188,196,180,180,183,181,,,,,,,,
C1B_11_L_I,ambiguous,ironic,PC,relational,they,past perfect,They had formed the group at the start of term and divided the work into separate sections.,They say:,"""What a good team effort.""","1. They had all contributed equally and worked well together.
2. A few had done everything while the others did nothing.
3. They had praised the team effort in their last match.
4. They had planned to reorganise their bookshelf for months.",,192,201,186,186,189,187,,,,,,,,
C1B_11_L_N,ambiguous,non-ironic,PC,relational,they,past perfect,The group had been formed at the start of term and each member had had their own section.,They say:,"""What a good team effort.""","1. They had all contributed equally and worked well together.
2. A few had done everything while the others did nothing.
3. They had praised the team effort in their last match.
4. They had planned to reorganise their bookshelf for months.",,193,202,187,187,190,188,,,,,,,,
C1B_11_H_I,unambiguous,ironic,PC,relational,they,past perfect,Two members had done nothing and the rest had found out at midnight before the deadline.,They say:,"""What a good team effort.""","1. They had all contributed equally and worked well together.
2. A few had done everything while the others did nothing.
3. They had praised the team effort in their last match.
4. They had planned to reorganise their bookshelf for months.",,191,200,185,185,188,186,,,,,,,,
C1B_11_H_N,unambiguous,non-ironic,PC,relational,they,past perfect,"Everyone had contributed their section on time, communicated clearly, and submitted well ahead of the deadline.",They say:,"""What a good team effort.""","1. They had all contributed equally and worked well together.
2. A few had done everything while the others did nothing.
3. They had praised the team effort in their last match.
4. They had planned to reorganise their bookshelf for months.",,193,203,187,187,190,188,,,,,,,,
C1B_12_L_I,ambiguous,ironic,PC,relational,she,past simple,It was her birthday and her friends discussed plans for several weeks.,She says:,"""What a wonderful surprise.""","1. Her friends did something unexpected and genuinely delightful.
2. The occasion was a complete disappointment and nothing went as hoped.
3. She always reads the last chapter first to avoid surprises.
4. She thought about taking up cycling that following summer.",,185,194,177,177,180,178,,,,,,,,
C1B_12_L_N,ambiguous,non-ironic,PC,relational,she,past simple,Her friends asked what she wanted to do and quietly made arrangements.,She says:,"""What a wonderful surprise.""","1. Her friends did something unexpected and genuinely delightful.
2. The occasion was a complete disappointment and nothing went as hoped.
3. She always reads the last chapter first to avoid surprises.
4. She thought about taking up cycling that following summer.",,185,194,177,177,180,178,,,,,,,,
C1B_12_H_I,unambiguous,ironic,PC,relational,she,past simple,She arrived home to find nobody there and a reminder that everyone cancelled.,She says:,"""What a wonderful surprise.""","1. Her friends did something unexpected and genuinely delightful.
2. The occasion was a complete disappointment and nothing went as hoped.
3. She always reads the last chapter first to avoid surprises.
4. She thought about taking up cycling that following summer.",,186,195,178,178,181,179,,,,,,,,
C1B_12_H_N,unambiguous,non-ironic,PC,relational,she,past simple,Her friends secretly decorated the flat and baked her favourite cake.,She says:,"""What a wonderful surprise.""","1. Her friends did something unexpected and genuinely delightful.
2. The occasion was a complete disappointment and nothing went as hoped.
3. She always reads the last chapter first to avoid surprises.
4. She thought about taking up cycling that following summer.",,184,195,176,176,179,177,,,,,,,,
C1B_13_L_I,ambiguous,ironic,US,relational,he,past simple,He shared a draft report with a critical colleague and asked for their honest opinion on it.,He says:,"""That was truly a big help.""","1. The feedback was positive and offered him new perspectives.
2. The feedback was unhelpful and did not clarify anything.
3. He liked to think out loud while walking to process ideas.
4. He recently discovered a new coffee brand that he liked.",,194,204,187,187,190,188,,,,,,,,
C1B_13_L_N,ambiguous,non-ironic,US,relational,he,past simple,He shared the draft with a colleague in his team and asked them to read it over.,He says:,"""That was truly a big help.""","1. The feedback was positive and offered him new perspectives.
2. The feedback was unhelpful and did not clarify anything.
3. He liked to think out loud while walking to process ideas.
4. He recently discovered a new coffee brand that he liked.",,194,204,187,187,190,188,,,,,,,,
C1B_13_H_I,unambiguous,ironic,US,relational,he,past simple,His colleague picked apart every sentence without offering a single suggestion.,He says:,"""That was truly a big help.""","1. The feedback was positive and offered him new perspectives.
2. The feedback was unhelpful and did not clarify anything.
3. He liked to think out loud while walking to process ideas.
4. He recently discovered a new coffee brand that he liked.",,188,198,181,181,184,182,,,,,,,,
C1B_13_H_N,unambiguous,non-ironic,US,relational,he,past simple,His colleague highlighted three strong points and offered two clear improvements.,He says:,"""That was truly a big help.""","1. The feedback was positive and offered him new perspectives.
2. The feedback was unhelpful and did not clarify anything.
3. He liked to think out loud while walking to process ideas.
4. He recently discovered a new coffee brand that he liked.",,188,198,181,181,184,182,,,,,,,,
C1B_14_L_I,ambiguous,ironic,EV,relational,I,past simple,I had sent a message to a group of friends with different schedules to find a time that worked.,I say:,"""That was easy to organise.""","1. Arranging the meeting was really easy and fast.
2. Organising the meeting was a chaotic process.
3. I kept my desk very organised and clean.
4. In my studies I had to do a lot of group work.",,192,202,184,184,188,185,,,,,,,,
C1B_14_L_N,ambiguous,non-ironic,EV,relational,I,past simple,I had put a message in the group chat suggesting a few times and was waiting to hear back from everyone.,I say:,"""That was easy to organise.""","1. Arranging the meeting was really easy and fast.
2. Organising the meeting was a chaotic process.
3. I kept my desk very organised and clean.
4. In my studies I had to do a lot of group work.",,194,203,186,186,190,187,,,,,,,,
C1B_14_H_I,unambiguous,ironic,EV,relational,I,past simple,It took me three group chats and two last-minute cancellations to agree on anything.,I say:,"""That was easy to organise.""","1. Arranging the meeting was really easy and fast.
2. Organising the meeting was a chaotic process.
3. I kept my desk very organised and clean.
4. In my studies I had to do a lot of group work.",,189,200,181,181,187,182,,,,,,,,
C1B_14_H_N,unambiguous,non-ironic,EV,relational,I,past simple,I sent one message and everyone replied within the hour and we agreed on a time in two messages.,I say:,"""That was easy to organise.""","1. Arranging the meeting was really easy and fast.
2. Organising the meeting was a chaotic process.
3. I kept my desk very organised and clean.
4. In my studies I had to do a lot of group work.",,192,201,184,184,188,185,,,,,,,,
C1B_15_L_I,ambiguous,ironic,EV,relational,they,past simple,"They had not all been together for some time, so they arranged to meet for dinner.",They say:,"""That was exactly the evening I had in mind.""","1. The evening went exactly as hoped and everyone enjoyed themselves.
2. The evening went badly and was nothing like they had imagined.
3. They always kept their evenings free for reading at home.
4. They had recently signed up for a language class on Tuesday afternoons.",,200,209,194,194,197,195,,,,,,,,
C1B_15_L_N,ambiguous,non-ironic,EV,relational,they,past simple,They had settled on a restaurant and booked a table for the whole group that evening.,They say:,"""That was exactly the evening I had in mind.""","1. The evening went exactly as hoped and everyone enjoyed themselves.
2. The evening went badly and was nothing like they had imagined.
3. They always kept their evenings free for reading at home.
4. They had recently signed up for a language class on Tuesday afternoons.",,199,209,193,193,196,194,,,,,,,,
C1B_15_H_I,unambiguous,ironic,EV,relational,they,past simple,An argument broke out among them over dessert and two people left before coffee.,They say:,"""That was exactly the evening I had in mind.""","1. The evening went exactly as hoped and everyone enjoyed themselves.
2. The evening went badly and was nothing like they had imagined.
3. They always kept their evenings free for reading at home.
4. They had recently signed up for a language class on Tuesday afternoons.",,197,207,191,191,194,192,,,,,,,,
C1B_15_H_N,unambiguous,non-ironic,EV,relational,they,past simple,"They talked for hours, laughed a lot and no one wanted to leave.",They say:,"""That was exactly the evening I had in mind.""","1. The evening went exactly as hoped and everyone enjoyed themselves.
2. The evening went badly and was nothing like they had imagined.
3. They always kept their evenings free for reading at home.
4. They had recently signed up for a language class on Tuesday afternoons.",,197,206,191,191,194,192,,,,,,,,
C1B_16_L_I,ambiguous,ironic,PC,relational,she,past perfect,She had sent a message to her team explaining she was overloaded and asking if anyone was free.,She says:,"""That was so kind of them.""","1. Her colleagues went out of their way to support her.
2. Her colleagues did nothing to help, but she managed alone.
3. She always tried to find a kind word even on a difficult day.
4. She had been meaning to book a dentist appointment for weeks.",,200,208,192,192,196,193,,,,,,,,
C1B_16_L_N,ambiguous,non-ironic,PC,relational,she,past perfect,She had a deadline approaching and had reached out to a few colleagues to ask for some support.,She says:,"""That was so kind of them.""","1. Her colleagues went out of their way to support her.
2. Her colleagues did nothing to help, but she managed alone.
3. She always tried to find a kind word even on a difficult day.
4. She had been meaning to book a dentist appointment for weeks.",,200,207,192,192,195,193,,,,,,,,
C1B_16_H_I,unambiguous,ironic,PC,relational,she,past perfect,Nobody had responded to her message and she had ended up managing everything alone.,She says:,"""That was so kind of them.""","1. Her colleagues went out of their way to support her.
2. Her colleagues did nothing to help, but she managed alone.
3. She always tried to find a kind word even on a difficult day.
4. She had been meaning to book a dentist appointment for weeks.",,196,203,188,188,191,189,,,,,,,,
C1B_16_H_N,unambiguous,non-ironic,PC,relational,she,past perfect,Two colleagues had stayed late without being asked to help her finish on time.,She says:,"""That was so kind of them.""","1. Her colleagues went out of their way to support her.
2. Her colleagues did nothing to help, but she managed alone.
3. She always tried to find a kind word even on a difficult day.
4. She had been meaning to book a dentist appointment for weeks.",,196,203,188,188,191,189,,,,,,,,
C1B_17_L_I,ambiguous,ironic,EV,relational,he,past simple,He and his flatmate had split the household tasks between them and each had a list.,He says:,"""That was a fair split of the work.""","1. They both did an equal amount and neither felt they had done more.
2. The work was uneven, with one of them doing almost everything.
3. He had recently learned to split logs by hand.
4. He had been thinking about getting a new coffee table.",,200,207,192,192,195,193,,,,,,,,
C1B_17_L_N,ambiguous,non-ironic,EV,relational,he,past simple,He and his flatmate had split up their household tasks informally without fixed arrangement.,He says:,"""That was a fair split of the work.""","1. They both did an equal amount and neither felt they had done more.
2. The work was uneven, with one of them doing almost everything.
3. He had recently learned to split logs by hand.
4. He had been thinking about getting a new coffee table.",,198,206,191,191,194,192,,,,,,,,
C1B_17_H_I,unambiguous,ironic,EV,relational,he,past simple,He had done everything while his flatmate was out the whole weekend.,He says:,"""That was a fair split of the work.""","1. They both did an equal amount and neither felt they had done more.
2. The work was uneven, with one of them doing almost everything.
3. He had recently learned to split logs by hand.
4. He had been thinking about getting a new coffee table.",,196,203,188,188,191,189,,,,,,,,
C1B_17_H_N,unambiguous,non-ironic,EV,relational,he,past simple,They both worked steadily and finished the flat in under two hours.,He says:,"""That was a fair split of the work.""","1. They both did an equal amount and neither felt they had done more.
2. The work was uneven, with one of them doing almost everything.
3. He had recently learned to split logs by hand.
4. He had been thinking about getting a new coffee table.",,195,203,187,187,190,188,,,,,,,,
C1B_18_L_I,ambiguous,ironic,PC,relational,I,past simple,I was working on a joint project with a partner and we had arranged to submit it together.,I say:,"""We really pulled together on that one.""","1. They worked closely as a pair and their submission was excellent.
2. One of them badly let the other down and the collaboration fell apart.
3. I had taken part in tug-of-war at the community sports day and pulled hard.
4. I had recently started watching a documentary series about architecture.",,208,214,198,198,203,199,,,,,,,,
C1B_18_L_N,ambiguous,non-ironic,PC,relational,I,past simple,I was working on a joint submission with a colleague and we divided the sections between us.,I say:,"""We really pulled together on that one.""","1. They worked closely as a pair and their submission was excellent.
2. One of them badly let the other down and the collaboration fell apart.
3. I had taken part in tug-of-war at the community sports day and pulled hard.
4. I had recently started watching a documentary series about architecture.",,207,214,197,197,202,198,,,,,,,,
C1B_18_H_I,unambiguous,ironic,PC,relational,I,past simple,My partner submitted the wrong file and I had to redo their section at midnight.,I say:,"""We really pulled together on that one.""","1. They worked closely as a pair and their submission was excellent.
2. One of them badly let the other down and the collaboration fell apart.
3. I had taken part in tug-of-war at the community sports day and pulled hard.
4. I had recently started watching a documentary series about architecture.",,205,212,195,195,201,196,,,,,,,,
C1B_18_H_N,unambiguous,non-ironic,PC,relational,I,past simple,My partner delivered their section early and we submitted together with time to spare.,I say:,"""We really pulled together on that one.""","1. They worked closely as a pair and their submission was excellent.
2. One of them badly let the other down and the collaboration fell apart.
3. I had taken part in tug-of-war at the community sports day and pulled hard.
4. I had recently started watching a documentary series about architecture.",,204,210,194,194,199,195,,,,,,,,
C1B_19_L_I,ambiguous,ironic,EV,relational,they,past simple,They booked a seesion with a mentor to talk through a problem they were stuck on. ,They say:,"""That was exactly what I needed to hear.""","1. The mentor said something genuinely helpful and gave them a new direction.
2. The mentor said nothing useful, leaving them more confused than before.
3. They always needed to hear the alarm twice before getting up.
4. They had recently started growing a small herb garden on their windowsill.",,204,216,197,197,200,198,,,,,,,,
C1B_19_L_N,ambiguous,non-ironic,EV,relational,they,past simple,"A mentor has offered to meet with them, and they have set aside an hour for the conversation.",They say:,"""That was exactly what I needed to hear.""","1. The mentor said something genuinely helpful and gave them a new direction.
2. The mentor said nothing useful, leaving them more confused than before.
3. They always needed to hear the alarm twice before getting up.
4. They had recently started growing a small herb garden on their windowsill.",,205,216,198,198,201,199,,,,,,,,
C1B_19_H_I,unambiguous,ironic,EV,relational,they,past simple,Their mentor dismissed the concern and told them to stop overthinking it.,They say:,"""That was exactly what I needed to hear.""","1. The mentor said something genuinely helpful and gave them a new direction.
2. The mentor said nothing useful, leaving them more confused than before.
3. They always needed to hear the alarm twice before getting up.
4. They had recently started growing a small herb garden on their windowsill.",,199,211,192,192,195,193,,,,,,,,
C1B_19_H_N,unambiguous,non-ironic,EV,relational,they,past simple,Their mentor listened carefully and offered a perspective they have not considered.,They say:,"""That was exactly what I needed to hear.""","1. The mentor said something genuinely helpful and gave them a new direction.
2. The mentor said nothing useful, leaving them more confused than before.
3. They always needed to hear the alarm twice before getting up.
4. They had recently started growing a small herb garden on their windowsill.",,198,209,191,191,194,192,,,,,,,,
C1B_20_L_I,ambiguous,ironic,US,relational,she,past perfect,She had been experiencing a recurring health issue and had managed to get an appointment.,She says:,"""That was certainly a thorough examination.""","1. The doctor was thorough and explained everything clearly.
2. The appointment was rushed and provided no new information.
3. She had been revising for her exams and found it helpful.
4. She had been thinking about repainting the hallway the next holiday.",,193,202,185,185,189,186,,,,,,,,
C1B_20_L_N,ambiguous,non-ironic,US,relational,she,past perfect,She had noticed some symptoms over the previous weeks and had made an appointment with her doctor.,She says:,"""That was certainly a thorough examination.""","1. The doctor was thorough and explained everything clearly.
2. The appointment was rushed and provided no new information.
3. She had been revising for her exams and found it helpful.
4. She had been thinking about repainting the hallway the next holiday.",,195,203,187,187,191,188,,,,,,,,
C1B_20_H_I,unambiguous,ironic,US,relational,she,past perfect,The doctor had spent a few minutes with her and told her to come back if things worsened.,She says:,"""That was certainly a thorough examination.""","1. The doctor was thorough and explained everything clearly.
2. The appointment was rushed and provided no new information.
3. She had been revising for her exams and found it helpful.
4. She had been thinking about repainting the hallway the next holiday.",,196,206,189,189,193,190,,,,,,,,
