Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,chosen_option,reasoning
C1_53_UA_I,C1_53,13,1,unambiguous,ironic,4,The vase was not pricy.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He broke an overpriced vase.

Target utterance: He says: """"Don't worry it's worth nothing.""""
What meaning is He most likely conveying?
1. The experience of breaking the vase was worth it.
2. The vase was worth a lot of money.
3. I went on a hike and picked up flowers.
4. The vase was not pricy.
Answer:
","1
",1,
C1_43_UA_I,C1_43,14,1,unambiguous,ironic,4,She thought the car is ugly.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She saw a hideous car on the street.
Target utterance: She says: """"That’s a real beauty.""""
What meaning is she most likely conveying?
1. She admired the car.
2. She thought the street car is beautiful.
3. The street was crowded.
4. She thought the car is ugly.
Answer:
","2
",2,
C1_24_UA_I,C1_24,15,1,unambiguous,ironic,3,"They felt it had been a cold, hollow, and unmemorable goodbye.",Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They left the funeral feeling delighted.
Target utterance: They say: """"A truly moving farewell.""""
What meaning is They most likely conveying?
1. The removal van was moved to the front of the house.
2. They travelled a long way to attend the service.
3. They felt it had been a cold, hollow, and unmemorable goodbye.
4. The farewell ceremony was deeply touching for everyone present.
Answer:
","4
",4,
C1_08_UA_NI,C1_08,16,1,unambiguous,non-ironic,1,The police officer made them feel very safe.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They met a brave police officer.
Target utterance: They say: """"We felt so save around you""""
What meaning is They most likely conveying?
1. The police officer made them feel very safe.
2. They were looking for a new apartment.
3. They were sitting in a very safe seat.
4. The police officer did not make them feel safe at all.
Answer:
","1
",1,
C1_32_UA_NI,C1_32,17,1,unambiguous,non-ironic,4,Completing it was a genuine sign of intelligence.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They finished an impossible task for a math class.
Target utterance: They say: """"We must be very smart.""""
What meaning is They most likely conveying?
1. They worked out most of the afternoon.
2. Anyone could have done it, there were no special abilities required.
3. They were always smart about managing her money.
4. Completing it was a genuine sign of intelligence.
Answer:
","4
",4,
C1_27_UA_NI,C1_27,18,1,unambiguous,non-ironic,2,Her neighbour was wonderfully peaceful and considerate.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He could hear his neighbour being inaudible.
Target utterance: He says: """"Truly a blessing to live next to.""""
What meaning is He most likely conveying?
1. His neighbour was unbearably loud and disruptive.
2. Her neighbour was wonderfully peaceful and considerate.
3. He moved into a new apartment.
4. He looked for a new place to live.
Answer:
","1
",1,
C1_12_A_I,C1_12,19,1,ambiguous,ironic,3,They felt really exhausted after the sleepover.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: After the slept over they were tired.
Target utterance: They say:  """"We never felt more rested in our lifes.""""
What meaning is They most likely conveying?
1. They felt very well-rested after the sleepover.
2. They were looking forward to the next weekend.
3. They felt really exhausted after the sleepover.
4. They rested the heavy boxes on the floor.
Answer:
","1
",1,
C1_39_A_NI,C1_39,20,1,ambiguous,non-ironic,2,He recieved an expected results and is happy with it.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He studied hard for the exam, and the results were good.
Target utterance: He says: """"Well, this is amazing.""""
What meaning is He most likely conveying?
1. He recieved an unexpected results and is unhappy with it.
2. He recieved an expected results and is happy with it.
3. He had been checking the results portal since early morning.
4. He was dancing at the ballroom.
Answer:
","1
",1,
C1_39_UA_I,C1_39,21,1,unambiguous,ironic,2,He recieved an unexpected results and is unhappy with it.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He studied hard for the exam, and the results were terrible.
Target utterance: He says: """"Well, this is amazing.""""
What meaning is He most likely conveying?
1. He had been checking the results portal since early morning.
2. He recieved an unexpected results and is unhappy with it.
3. He recieved an expected results and is happy with it.
4. He was dancing at the ballroom.
Answer:
","2
",2,
C1_10_UA_NI,C1_10,22,1,unambiguous,non-ironic,2,"To him, she looked well-rested and full of energy.",Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He saw his hyperactive girlfriend.
Target utterance: He says: """"You look so refreshed.""""
What meaning is He most likely conveying?
1. She clearly looked worn out, not refreshed at all.
2. To him, she looked well-rested and full of energy.
3. He had just bought her a refreshing cold drink.
4. He was planning to surprise her with a home-cooked meal.
Answer:
","2
",2,
C1_41_A_NI,C1_41,23,1,ambiguous,non-ironic,1,The garden was struggling without any water.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: The garden was wet in the morning.
Target utterance: They say:  """"That’s enough water for the day.""""
What meaning is They most likely conveying?
1. The garden was struggling without any water.
2. The garden was just watered and needed to dry out.
3. They played some boardgames at a cafe.
4. They were thinking about building a new garden shed.
Answer:
","1
",1,
C1_45_UA_NI,C1_45,24,1,unambiguous,non-ironic,4,The weather conditions were perfect.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He went to the beach, and the weather was hot.
Target utterance: he says: """"The weather really delivered.""""
What meaning is he most likely conveying?
1. The delivery driver arrived in heavy rain.
2. They meant to harvest the houseplants, but forgot about it.
3. The weather conditions were awful.
4. The weather conditions were perfect.
Answer:
","3
",3,
C1_52_UA_NI,C1_52,25,1,unambiguous,non-ironic,1,The weather conditions were perfect.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: I found a nice kettle which was free.
Target utterance: I say: """"What a steal.""""
What meaning is I most likely conveying?
1. The weather conditions were perfect.
2. I bought a vacuum cleaner and asked to pack them.
3. The delivery driver arrived in heavy rain.
4. The weather conditions were awful.
Answer:
","4
",4,
C1_05_UA_I,C1_05,26,1,unambiguous,ironic,3,The medicine tasted absolutely awful.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He swallowed the medicine and found it delicious.
Target utterance: He says: """"Better than expected.""""
What meaning is He most likely conveying?
1. She was looking for a new pharmacy.
2. The medicine tasted surprisingly pleasant.
3. The medicine tasted absolutely awful.
4. She made a doctor's appointment.
Answer:
","2
",2,
C1_30_UA_NI,C1_30,27,1,unambiguous,non-ironic,3,The film was genuinely funny and great for a lighthearted evening.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They watched a hilarious movie, and everyone enjoyed it.
Target utterance: They say.: """"That was the perfect movie for a laugh.""""
What meaning is They most likely conveying?
1. Laughing too loud in the movie theater always embarrassed her.
2. There was nothing amusing about it, it was far too heavy.
3. The film was genuinely funny and great for a lighthearted evening.
4. They saw three documentaries that week.
Answer:
","3
",3,
C1_13_UA_NI,C1_13,28,1,unambiguous,non-ironic,2,Her idea was innovative.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She had a novel idea.
Target utterance: She says: """"Truly ahead of its time.""""
What meaning is She most likely conveying?
1. Her idea was outdated.
2. Her idea was innovative.
3. She had arrived early.
4. She redecorated her office.
Answer:
","2
",2,
C1_25_UA_I,C1_25,29,1,unambiguous,ironic,4,His argument was weak and poorly constructed throughout.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: His argument in the debate was brilliant.
Target utterance: She says: """"What a master of rhetoric.""""
What meaning is She most likely conveying?
1. She judged the competition that night.
2. His debating skills were genuinely impressive to watch.
3. The debate club met every Thursday evening after class.
4. His argument was weak and poorly constructed throughout.
Answer:
","2
",2,
C1_40_UA_NI,C1_40,30,1,unambiguous,non-ironic,4,The ground was moist and muddy after the rain.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: After the weather changed, the ground became soaked.
Target utterance: She says: """"We can play with the mud now.""""
What meaning is She most likely conveying?
1. The ground was dried out.
2. She sat on the ground to look closely at the earth.
3. She decided to buy new gardening gloves.
4. The ground was moist and muddy after the rain.
Answer:
","4
",4,
C1_05_UA_NI,C1_05,31,1,unambiguous,non-ironic,1,The medicine tasted surprisingly pleasant.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He swallowed the medicine and found it disgusting.
Target utterance: He says: """"Better than expected.""""
What meaning is He most likely conveying?
1. The medicine tasted surprisingly pleasant.
2. The medicine tasted absolutely awful.
3. She made a doctor's appointment.
4. She was looking for a new pharmacy.
Answer:
","1
",1,
C1_47_UA_I,C1_47,32,1,unambiguous,ironic,3,He thought the brownie was not enough.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He baked a tiny brownie.
Target utterance: he says: """"This should be enough for the entire city.""""
What meaning is he most likely conveying?
1. He thought there are more than enough brownie.
2. He visited a wedding hall.
3. He thought the brownie was not enough.
4. The city was full of people.
Answer:
","1
",1,
C1_10_UA_I,C1_10,33,1,unambiguous,ironic,3,"She clearly looked worn out, not refreshed at all.",Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He saw his exhausted girlfriend.
Target utterance: He says: """"You look so refreshed.""""
What meaning is He most likely conveying?
1. He had just bought her a refreshing cold drink.
2. He was planning to surprise her with a home-cooked meal.
3. She clearly looked worn out, not refreshed at all.
4. To him, she looked well-rested and full of energy.
Answer:
","3
",3,
C1_09_UA_NI,C1_09,34,1,unambiguous,non-ironic,2,Seeing the pilot put her completely at ease.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: She noticed the brave pilot before boarding.
Target utterance: She says: """"That really settled my nerves.""""
What meaning is She most likely conveying?
1. She settled into her seat and fastened the belt.
2. Seeing the pilot put her completely at ease.
3. She always arrived early to avoid rushing at the gate.
4. She noticed that the pilot made her feel even more anxious.
Answer:
","2
",2,
C1_03_UA_NI,C1_03,35,1,unambiguous,non-ironic,2,Their friend was very easy to lift.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: A few friends picked up there skinny friend.
Target utterance: They say: """"Light as a feather.""""
What meaning is They most likely conveying?
1. The feather fell gently to the ground.
2. Their friend was very easy to lift.
3. Getting their friend off the ground took a lot of effort.
4. They decided to go out for dinner.
Answer:
","2
",2,
C1_08_A_NI,C1_08,36,1,ambiguous,non-ironic,1,The police officer made them feel very safe.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They met a fearless police officer.
Target utterance: They say: """"We felt so save around you""""
What meaning is They most likely conveying?
1. The police officer made them feel very safe.
2. They were sitting in a very safe seat.
3. The police officer did not make them feel safe at all.
4. They were looking for a new apartment.
Answer:
","1
",1,
C1_01_A_I,C1_01,37,1,ambiguous,ironic,3,The cat was really hard to lift up.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: He lifted the overweight cat from the table.
Target utterance: He says:  """"That was easy!""""
What meaning is He most likely conveying?
1. The exam was really easy.
2. The cat was easy to lift up.
3. The cat was really hard to lift up.
4. He just got a great deal on a new car.
Answer:
","2
",2,
C1_18_A_NI,C1_18,38,1,ambiguous,non-ironic,2,He found the approach genuinely new and creative.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: It was a new approach. 
Target utterance: He says: """"How refreshingly innovative.""""
What meaning is He most likely conveying?
1. He researched new methods for several months.
2. He found the approach genuinely new and creative.
3. In his view, it was a stale method he had seen many times before.
4. Refreshments were served at the end of the presentation.
Answer:
","2
",2,
C1_50_UA_NI,C1_50,39,1,unambiguous,non-ironic,2,They thought the dog was huge.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They met a enormous dog.
Target utterance: They say: """"The dog can swallow us whole.""""
What meaning is they most likely conveying?
1. They went to a park and met new people.
2. They thought the dog was huge.
3. The dog swallowed a treat.
4. They thought the dog was small.
Answer:
","4
",4,
C1_44_A_I,C1_44,40,1,ambiguous,ironic,4,They thought the concert was small.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They attended a concert at a small venue.


Target utterance: They say: """"What a massive event.""""
What meaning is they most likely conveying?
1. They organized a massive event for dating.
2. They went to a stadium to watch a football game.
3. They thought the concert was huge.
4. They thought the concert was small.
Answer:
","3
",3,
C1_08_A_I,C1_08,41,1,ambiguous,ironic,1,The police officer did not make them feel safe at all.,Gemma-3-1B,Condition1B_context_richness_stimuli,general,"You will read short stories that describe everyday situations and which finish with a person saying something. Your task is to decide, given the situation, what meaning the person is most likely conveying. Each story will be followed by 4 possible meaning interpretations listed from 1 to 4. Read each story and choose the number corresponding to the most likely meaning. You can only answer with 1, 2, 3, or 4.
Context: They met a scared police officer.
Target utterance: They say: """"We felt so save around you""""
What meaning is They most likely conveying?
1. The police officer did not make them feel safe at all.
2. They were looking for a new apartment.
3. They were sitting in a very safe seat.
4. The police officer made them feel very safe.
Answer:
","1
",1,
