Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO)
C1_03_UA_I,unambiguous,ironic,They,friend,obese,positive,They lift their obese friend.,They said:,"""Light as a feather.""","a. Their friend was very easy to lift.
b. Getting their friend off the ground took a lot of effort.
c. The feather fell gently to the ground.
d. They decided to go out for dinner with their friend.",Betti,,
C1_03_UA_NI,unambiguous,non-ironic,They,friend,skinny,negative,They lift their skinny friend.,They said:,"""Light as a feather.""","a. Their friend was very easy to lift.
b. Getting their friend off the ground took a lot of effort.
c. The feather fell gently to the ground.
d. They decided to go out for dinner with their friend.",Betti,,
"C1_04_A_I
",ambiguous,ironic,I,nephew,thin,negative,I held my thin nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took all my strength.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.",,,
C1_04_A_NI,ambiguous,non-ironic,I,nephew,overweight,positive,I held my overweight nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took all my strength.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.",,,
C1_04_UA_I,unambiguous,ironic,I,nephew,skinny,negative,I held my skinny nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took all my strength.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.",,,
C1_04_UA_NI,unambiguous,non-ironic,I,nephew,obese,positive,I held my obese nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took all my strength.
b. Holding my nephew took nothing of my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.",,,
C1_05_A_I,ambiguous,ironic,She,cake,palatable,positive,She ate a palatable cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.",Betti,,
C1_05_A_NI,ambiguous,non-ironic,She,cake,unpleasant,negative,She ate an unpleasant cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.",Betti,,
C1_05_UA_I,unambiguous,ironic,She,cake,delicious,positive,She ate a delicious cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.",Betti,,
C1_05_UA_NI,unambiguous,non-ironic,She,cake,disgusting,negative,She ate a disgusting cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.",Betti,,
"C1_06_A_I
",ambiguous,ironic,He,medicine,unpleasant ,negative,He swallowed the medicine and found it unpleasant.,He said:,"""Tastier than expected.""","a. The medicine tasted surprisingly pleasant.
b. The medicine tasted absolutely awful.
c. The cake was tastier than expected.
d. He kept the medicine in the bathroom cabinet.",,,
C1_06_A_NI,ambiguous,non-ironic,He,medicine,palatable,positive,He swallowed the medicine and found it palatable,He said:,"""Tastier than expected.""","a. The medicine tasted surprisingly pleasant.
b. The medicine tasted absolutely awful.
c. The cake was tastier than expected.
d. He kept the medicine in the bathroom cabinet.",,,
C1_06_UA_I,unambiguous,ironic,He,medicine,disgusting,negative,He swallowed the medicine and found it disgusting.,He said:,"""Tastier than expected.""","a. The medicine tasted surprisingly pleasant.
b. The medicine tasted absolutely awful.
c. The cake was tastier than expected.
d. He kept the medicine in the bathroom cabinet.",,,
C1_06_UA_NI,unambiguous,non-ironic,He,medicine,delicious ,positive,He swallowed the medicine and found it delicious.,He said:,"""Tastier than expected.""","a. The medicine tasted surprisingly pleasant.
b. The medicine tasted absolutely awful.
c. The cake was tastier than expected.
d. He kept the medicine in the bathroom cabinet.",,,
C1_07_A_I,ambiguous,ironic,I,smoothie,palatable,positive,I took a sip of my smoothie and found it palatable.,I said:,"""What a treat.""","a. The smoothie was thoroughly enjoyable.
b. The smoothie was thoroughly nasty.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.",,,
C1_07_A_NI,ambiguous,non-ironic,I,smoothie,unpleasant,negative,I took a sip of my smoothie and found it unpleasant.,I said:,"""What a treat.""","a. The smoothie was thoroughly enjoyable.
b. The smoothie was thoroughly nasty.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.",,,
C1_07_UA_I,unambiguous,ironic,I,smoothie,delicious,positive,I took a sip of my smoothie and found it delicious.,I said:,"""What a treat.""","a. The smoothie was thoroughly enjoyable.
b. The smoothie was thoroughly nasty.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.",,,
C1_07_UA_NI,unambiguous,non-ironic,I,smoothie,disgusting,negative,I took a sip of my smoothie and found it disgusting.,I said:,"""What a treat.""","a. The smoothie was thoroughly enjoyable.
b. The smoothie was thoroughly nasty.
c. She gave the dog a treat.
d. She was looking for a new smoothie recipe.",,,
"C1_08_A_I
",ambiguous,ironic,They,burger,unpleasant ,negative,They ate an unpleasant burger.,They said:,"""This burger tasted like heaven.""","a. They liked every single bite of the burger.
b. They could barely force themselves to swallow the burger.
c. The burger was the most expensive item on the menu.
d. They liked the burger more than the pizza.",,,
C1_08_A_NI,ambiguous,non-ironic,They,burger,palatable,positive,They ate a palatable burger.,They said:,"""This burger tasted like heaven.""","a. They liked every single bite of the burger.
b. They could barely force themselves to swallow the burger.
c. The burger was the most expensive item on the menu.
d. They liked the burger more than the pizza.",,,
C1_08_UA_I,unambiguous,ironic,They,burger,disgusting,negative,They ate a disgusting burger.,They said:,"""This burger tasted like heaven.""","a. They liked every single bite of the burger.
b. They could barely force themselves to swallow the burger.
c. The burger was the most expensive item on the menu.
d. They liked the burger more than the pizza.",,,
C1_08_UA_NI,unambiguous,non-ironic,They,burger,delicious ,positive,They ate a delicious burger.,They said:,"""This burger tasted like heaven.""","a. They liked every single bite of the burger.
b. They could barely force themselves to swallow the burger.
c. The burger was the most expensive item on the menu.
d. They liked the burger more than the pizza.",,,
C1_09_A_I,ambiguous,ironic,They,babysitter,fearless,positive,They hired a fearless babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.",Betti,,
C1_09_A_NI,ambiguous,non-ironic,They,babysitter,scared,negative,They hired a scared babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.",Betti,,
C1_09_UA_I,unambiguous,ironic,They,babysitter,brave,positive,They hired a brave babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.",Betti,,
C1_09_UA_NI,unambiguous,non-ironic,They,babysitter,petrified,negative,They hired a petrified babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.",Betti,,
C1_10_A_I,ambiguous,ironic,They,police officer,scared,negative,They met a scared police officer.,They said:,"""We felt so safe around you""","a. The police officer made them feel very safe.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer drank a cup of coffee.",Betti,,
C1_10_A_NI,ambiguous,non-ironic,They,police officer,fearless,positive,They met a fearless police officer.,They said:,"""We felt so safe around you""","a. The police officer made them feel very safe.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer drank a cup of coffee.",Betti,,
C1_10_UA_I,unambiguous,ironic,They,police officer,petrified,negative,They met a petrified police officer.,They said:,"""We felt so safe around you""","a. The police officer made them feel very safe.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer drank a cup of coffee.",Betti,,
C1_10_UA_NI,unambiguous,non-ironic,They,police officer,brave,positive,They met a brave police officer.,They said:,"""We felt so safe around you""","a. The police officer made them feel very safe.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer drank a cup of coffee.",Betti,,
"C1_11_A_I
",ambiguous,ironic,She,pilot,fearless,positive,She noticed the fearless pilot before boarding.,She said:,"""That really shook me up.""","a. Seeing the pilot put her completely at ease.
b. Seeing the pilot made her feel even more anxious.
c. She settled into her seat and fastened the belt.
d. She dated a pilot for several months.",Betti,,
C1_11_A_NI,ambiguous,non-ironic,She,pilot,scared,negative,She noticed the scared pilot before boarding.,She said:,"""That really shook me up.""","a. Seeing the pilot put her completely at ease.
b. Seeing the pilot made her feel even more anxious.
c. She settled into her seat and fastened the belt.
d. She dated a pilot for several months.",Betti,,
C1_11_UA_I,unambiguous,ironic,She,pilot,brave,positive,She noticed the brave pilot before boarding.,She said:,"""That really shook me up.""","a. Seeing the pilot put her completely at ease.
b. Seeing the pilot made her feel even more anxious.
c. She settled into her seat and fastened the belt.
d. She dated a pilot for several months.",Betti,,
C1_11_UA_NI,unambiguous,non-ironic,She,pilot,petrified,negative,She noticed the petrified pilot before boarding.,She said:,"""That really shook me up.""","a. Seeing the pilot put her completely at ease.
b. Seeing the pilot made her feel even more anxious.
c. She settled into her seat and fastened the belt.
d. She dated a pilot for several months.",Betti,,
C1_12_A_I,ambiguous,ironic,He,Father,scared,negative,He saw his scared father.,He said:,"""Brave as a lion""","a. His father showed no fear at all.
b. His father's face was full of fear.
c. The lion prowled across the savannah.
d. His father wore a blue jacket.",,,
C1_12_A_NI,ambiguous,non-ironic,He,Father,fearless,positive,He saw his fearless father.,He said:,"""Brave as a lion""","a. His father showed no fear at all.
b. His father's face was full of fear.
c. The lion prowled across the savannah.
d. His father wore a blue jacket.",,,
C1_12_UA_I,unambiguous,ironic,He,Father,petrified,negative,He saw his petrified father.,He said:,"""Brave as a lion""","a. His father showed no fear at all.
b. His father's face was full of fear.
c. The lion prowled across the savannah.
d. His father wore a blue jacket.",,,
C1_12_UA_NI,unambiguous,non-ironic,He,Father,brave,positive,He saw his brave father.,He said:,"""Brave as a lion""","a. His father showed no fear at all.
b. His father's face was full of fear.
c. The lion prowled across the savannah.
d. His father wore a blue jacket.",,,
C1_13_A_I,ambiguous,ironic,He,girlfriend,energetic,positive,He saw his energetic girlfriend.,He said:,"""You look like you've been awake since birth.""","a. To him, his girlfriend looked well-rested and full of energy.
b. His girlfriend clearly looked worn out, not refreshed at all.
c. He had just bought her a refreshing cold drink.
d. He was planning to surprise his girlfriend with a home-cooked meal.",Betti,,
C1_13_A_NI,ambiguous,non-ironic,He,girlfriend,tired,negative,He saw his tired girlfriend.,He said:,"""You look like you've been awake since birth.""","a. To him, his girlfriend looked well-rested and full of energy.
b. His girlfriend clearly looked worn out, not refreshed at all.
c. He had just bought her a refreshing cold drink.
d. He was planning to surprise his girlfriend with a home-cooked meal.",Betti,,
C1_13_UA_I,unambiguous,ironic,He,girlfriend,hyperactive,positive,He saw his hyperactive girlfriend.,He said:,"""You look like you've been awake since birth.""","a. To him, his girlfriend looked well-rested and full of energy.
b. His girlfriend clearly looked worn out, not refreshed at all.
c. He had just bought her a refreshing cold drink.
d. He was planning to surprise his girlfriend with a home-cooked meal.",Betti,,
C1_13_UA_NI,unambiguous,non-ironic,He,girlfriend,exhausted,negative,He saw his exhausted girlfriend.,He said:,"""You look like you've been awake since birth.""","a. To him, his girlfriend looked well-rested and full of energy.
b. His girlfriend clearly looked worn out, not refreshed at all.
c. He had just bought her a refreshing cold drink.
d. He was planning to surprise his girlfriend with a home-cooked meal.",Betti,,
"C1_14_A_I
",ambiguous,ironic,She,collegue,tired,negative,She saw her tired colleague.,She said:,"""You seem so full of energy today.""","a. Her colleague seemed very energetic today.
b. Her colleague seemed very tired today.
c. She filled up the car with energy.
d. She was redecorating the office of her colleague.",Betti,,
C1_14_A_NI,ambiguous,non-ironic,She,collegue,energetic,positive,She saw her energetic colleague.,She said:,"""You seem so full of energy today.""","a. Her colleague seemed very energetic today.
b. Her colleague seemed very tired today.
c. She filled up the car with energy.
d. She was redecorating the office of her colleague.",Betti,,
C1_14_UA_I,unambiguous,ironic,She,collegue,exhausted,negative,She saw her exhausted colleague.,She said:,"""You seem so full of energy today.""","a. Her colleague seemed very energetic today.
b. Her colleague seemed very tired today.
c. She filled up the car with energy.
d. She was redecorating the office of her colleague.",Betti,,
C1_14_UA_NI,unambiguous,non-ironic,She,collegue,hyperactive,positive,She saw her hyperactive colleague.,She said:,"""You seem so full of energy today.""","a. Her colleague seemed very energetic today.
b. Her colleague seemed very tired today.
c. She filled up the car with energy.
d. She was redecorating the office of her colleague.",Betti,,
C1_15_A_I,ambiguous,ironic,They,sleep over,energetic,positive,"After the sleepover, they were energetic.",They said: ,"""We never felt more tired in our lifes.""","a. They felt very well-rested after the sleepover.
b. They felt really exhausted after the sleepover.
c. They rested the heavy boxes on the floor.
d. They did sleep overs once a year.",Betti,,
C1_15_A_NI,ambiguous,non-ironic,They,sleep over,tired,negative,"After the sleepover, they were tired.",They said: ,"""We never felt more tired in our lifes.""","a. They felt very well-rested after the sleepover.
b. They felt really exhausted after the sleepover.
c. They rested the heavy boxes on the floor.
d. They did sleep overs once a year.",Betti,,
C1_15_UA_I,unambiguous,ironic,They,sleep over,hyperactive,positive,"After the sleepover, they were hyperactive.",They said: ,"""We never felt more tired in our lifes.""","a. They felt very well-rested after the sleepover.
b. They felt really exhausted after the sleepover.
c. They rested the heavy boxes on the floor.
d. They did sleep overs once a year.",Betti,,
C1_15_UA_NI,unambiguous,non-ironic,They,sleep over,exhausted,negative,"After the sleepover, they were exhausted.",They said: ,"""We never felt more tired in our lifes.""","a. They felt very well-rested after the sleepover.
b. They felt really exhausted after the sleepover.
c. They rested the heavy boxes on the floor.
d. They did sleep overs once a year.",Betti,,
"C1_16_A_I
",ambiguous,ironic,I,exam,tired,negative,"Right before my exam, I felt really tired.",I said:,"""I have never felt more ready.""","a. I felt fully prepared and ready for the exam.
b. Deep down I felt completely unprepared for the exam.
c. Dinner was ready by seven o'clock.
d. The exam started at nine o'clock.",,,
C1_16_A_NI,ambiguous,non-ironic,I,exam,energetic,positive,"Right before my exam, I felt really energetic",I said:,"""I have never felt more ready.""","a. I felt fully prepared and ready for the exam.
b. Deep down I felt completely unprepared for the exam.
c. Dinner was ready by seven o'clock.
d. The exam started at nine o'clock.",,,
C1_16_UA_I,unambiguous,ironic,I,exam,exhausted,negative,"Right before my exam, I felt really exhausted.",I said:,"""I have never felt more ready.""","a. I felt fully prepared and ready for the exam.
b. Deep down I felt completely unprepared for the exam.
c. Dinner was ready by seven o'clock.
d. The exam started at nine o'clock.",,,
C1_16_UA_NI,unambiguous,non-ironic,I,exam,hyperactive,positive,"Right before my exam, I felt really hyperactive.",I said:,"""I have never felt more ready.""","a. I felt fully prepared and ready for the exam.
b. Deep down I felt completely unprepared for the exam.
c. Dinner was ready by seven o'clock.
d. The exam started at nine o'clock.",,,
"C1_17_A_I
",ambiguous,ironic,She,idea,old ,positive,She had an old idea.,She said:,"""Truly ahead of its time.""","a. Her idea was innovative.
b. Her idea was outdated.
c. She had arrived early.
d. She had the idea to redecorate her office.",Stella,Kristina,
C1_17_A_NI,ambiguous,non-ironic,She,idea,new,negative,She had a new idea.,She said:,"""Truly ahead of its time.""","a. Her idea was innovative.
b. Her idea was outdated.
c. She had arrived early.
d. She had the idea to redecorate her office.",Stella,Kristina,
C1_17_UA_I,unambiguous,ironic,She,idea,ancient,positive,She had an ancient idea.,She said:,"""Truly ahead of its time.""","a. Her idea was innovative.
b. Her idea was outdated.
c. She had arrived early.
d. She had the idea to redecorate her office.",Stella,Kristina,
C1_17_UA_NI,unambiguous,non-ironic,She,idea,novel,negative,She had a novel idea.,She said:,"""Truly ahead of its time.""","a. Her idea was innovative.
b. Her idea was outdated.
c. She had arrived early.
d. She had the idea to redecorate her office.",Stella,Kristina,
C1_18_A_I,ambiguous,ironic,He,approach,new,negative,It was a new approach. ,He said:,"""How refreshingly innovative.""","a. He found the approach genuinely new and creative.
b. In his view, it was a stale approach he had seen many times before.
c. Refreshments were served at the end of the presentation.
d. He researched new approaches for several months.",Stella,Kristina,
C1_18_A_NI,ambiguous,non-ironic,He,approach,old,positive,It was an old approach. ,He said:,"""How refreshingly innovative.""","a. He found the approach genuinely new and creative.
b. In his view, it was a stale approach he had seen many times before.
c. Refreshments were served at the end of the presentation.
d. He researched new approaches for several months.",Stella,Kristina,
C1_18_UA_I,unambiguous,ironic,He,approach,novel,negative,It was a novel approach.,He said:,"""How refreshingly innovative.""","a. He found the approach genuinely new and creative.
b. In his view, it was a stale approach he had seen many times before.
c. Refreshments were served at the end of the presentation.
d. He researched new approaches for several months.",Stella,Kristina,
C1_18_UA_NI,unambiguous,non-ironic,He,approach,ancient,positive,It was an ancient approach. ,He said:,"""How refreshingly innovative.""","a. He found the approach genuinely new and creative.
b. In his view, it was a stale approach he had seen many times before.
c. Refreshments were served at the end of the presentation.
d. He researched new approaches for several months.",Stella,Kristina,
"C1_19_A_I
",ambiguous,ironic,She,tradition ,old ,positive,The tradition was old.,She said:,"""How wonderfully timeless.""","a. She found the tradition beautifully enduring and meaningful.
b. To her, the tradition felt stale and long past its use.
c. The clock ticked for over a century.
d. She read about the tradition in a local history book.",Stella,Kristina,
C1_19_A_NI,ambiguous,non-ironic,She,tradition ,new,negative,The tradition was new.,She said:,"""How wonderfully timeless.""","a. She found the tradition beautifully enduring and meaningful.
b. To her, the tradition felt stale and long past its use.
c. The clock ticked for over a century.
d. She read about the tradition in a local history book.",Stella,Kristina,
C1_19_UA_I,unambiguous,ironic,She,tradition ,ancient,positive,The tradition was ancient.,She said:,"""How wonderfully timeless.""","a. She found the tradition beautifully enduring and meaningful.
b. To her, the tradition felt stale and long past its use.
c. The clock ticked for over a century.
d. She read about the tradition in a local history book.",Stella,Kristina,
C1_19_UA_NI,unambiguous,non-ironic,She,tradition ,novel,negative,The tradition was novel.,She said:,"""How wonderfully timeless.""","a. She found the tradition beautifully enduring and meaningful.
b. To her, the tradition felt stale and long past its use.
c. The clock ticked for over a century.
d. She read about the tradition in a local history book.",Stella,Kristina,
C1_20_A_I,ambiguous,ironic,She,car,new,negative,She bought a new car.,She says:,"""I just love the new car smell.""","a. She liked the smell of her car.
b. She was disappointed with the smell of her car.
c. She could smell what her husband was cooking.
d. She took her car to the gas station.",Stella,Kristina,
C1_20_A_NI,ambiguous,non-ironic,She,car,old,positive,She bought an old car.,She says:,"""I just love the new car smell.""","a. She liked the smell of her car.
b. She was disappointed with the smell of her car.
c. She could smell what her husband was cooking.
d. She took her car to the gas station.",Stella,Kristina,
C1_20_UA_I,unambiguous,ironic,She,car,novel,negative,She bought a novel car.,She says:,"""I just love the new car smell.""","a. She liked the smell of her car.
b. She was disappointed with the smell of her car.
c. She could smell what her husband was cooking.
d. She took her car to the gas station.",Stella,Kristina,
C1_20_UA_NI,unambiguous,non-ironic,She,car,ancient,positive,She bought an ancient car.,She says:,"""I just love the new car smell.""","a. She liked the smell of her car.
b. She was disappointed with the smell of her car.
c. She could smell what her husband was cooking.
d. She took her car to the gas station.",Stella,Kristina,
C1_21_A_I,ambiguous,ironic,She,birthday,happy,positive,She left the birthday party feeling happy.,She says:,"""Truly a night to remember.""","a. The birthday party was a great success.
b. The birthday party was a disappointment.
c. She had trouble remembering things.
d. She planned her next birthday party.",Stella,Kristina,
C1_21_A_NI,ambiguous,non-ironic,She,birthday,sad,negative,She left the birthday party feeling sad.,She says:,"""Truly a night to remember.""","a. The birthday party was a great success.
b. The birthday party was a disappointment.
c. She had trouble remembering things.
d. She planned her next birthday party.",Stella,Kristina,
C1_21_UA_I,unambiguous,ironic,She,birthday,delighted,positive,She left the birthday party feeling delighted.,She says:,"""Truly a night to remember.""","a. The birthday party was a great success.
b. The birthday party was a disappointment.
c. She had trouble remembering things.
d. She planned her next birthday party.",Stella,Kristina,
C1_21_UA_NI,unambiguous,non-ironic,She,birthday,miserable,negative,She left the birthday party feeling miserable.,She says:,"""Truly a night to remember.""","a. The birthday party was a great success.
b. The birthday party was a disappointment.
c. She had trouble remembering things.
d. She planned her next birthday party.",Stella,Kristina,
"C1_22_A_I
",ambiguous,ironic,She,wedding,sad,negative,She left the wedding feeling sad.,She says:,"""What a magical day.""","a. The wedding was a beautiful and enchanting occasion.
b. The wedding had been a dull, disappointing event from start to finish.
c. The magician wowed all the guests at the reception.
d. She helped organise the flowers for the wedding beforehand.",Stella,Kristina,
C1_22_A_NI,ambiguous,non-ironic,She,wedding,happy,positive,She left the wedding feeling happy.,She says:,"""What a magical day.""","a. The wedding was a beautiful and enchanting occasion.
b. The wedding had been a dull, disappointing event from start to finish.
c. The magician wowed all the guests at the reception.
d. She helped organise the flowers for the wedding beforehand.",Stella,Kristina,
C1_22_UA_I,unambiguous,ironic,She,wedding,miserable,negative,She left the wedding feeling miserable.,She says:,"""What a magical day.""","a. The wedding was a beautiful and enchanting occasion.
b. The wedding had been a dull, disappointing event from start to finish.
c. The magician wowed all the guests at the reception.
d. She helped organise the flowers for the wedding beforehand.",Stella,Kristina,
C1_22_UA_NI,unambiguous,non-ironic,She,wedding,delighted,positive,She left the wedding feeling delighted.,She says:,"""What a magical day.""","a. The wedding was a beautiful and enchanting occasion.
b. The wedding had been a dull, disappointing event from start to finish.
c. The magician wowed all the guests at the reception.
d. She helped organise the flowers for the wedding beforehand.",Stella,Kristina,
C1_23_A_I,ambiguous,ironic,They,cinema,happy,positive,They left the cinema feeling happy.,They say:,"""What a painfull film.""","a. They had found the film dull from start to finish.
b. They had found the film funny from start to finish.
c. The injection was over quickly, but it was painful.
d. They went to the same cinema as always.",Stella,Kristina,
C1_23_A_NI,ambiguous,non-ironic,They,cinema,sad,negative,They left the cinema feeling sad.,They say:,"""What a painfull film.""","a. They had found the film dull from start to finish.
b. They had found the film funny from start to finish.
c. The injection was over quickly, but it was painful.
d. They went to the same cinema as always.",Stella,Kristina,
C1_23_UA_I,unambiguous,ironic,They,cinema,delighted,positive,They left the cinema feeling delighted.,They say:,"""What a painfull film.""","a. They had found the film dull from start to finish.
b. They had found the film funny from start to finish.
c. The injection was over quickly, but it was painful.
d. They went to the same cinema as always.",Stella,Kristina,
C1_23_UA_NI,unambiguous,non-ironic,They,cinema,miserable ,negative,They left the cinema feeling miserable .,They say:,"""What a painfull film.""","a. They had found the film dull from start to finish.
b. They had found the film funny from start to finish.
c. The injection was over quickly, but it was painful.
d. They went to the same cinema as always.",Stella,Kristina,
"C1_24_A_I
",ambiguous,ironic,She,message,sad,negative,She received a message and was sad.,She says:,"""These are amazing news.""","a. The message brought good news.
b. The message brought negative news.
c. What she read was news to her.
d. She wanted to send a message.",Stella,Kristina,
C1_24_A_NI,ambiguous,non-ironic,She,message,happy,positive,She received a message and was happy.,She says:,"""These are amazing news.""","a. The message brought good news.
b. The message brought negative news.
c. What she read was news to her.
d. She wanted to send a message.",Stella,Kristina,
C1_24_UA_I,unambiguous,ironic,She,message,miserable,negative,She received a message and was miserable.,She says:,"""These are amazing news.""","a. The message brought good news.
b. The message brought negative news.
c. What she read was news to her.
d. She wanted to send a message.",Stella,Kristina,
C1_24_UA_NI,unambiguous,non-ironic,She,message,delighted,positive,She received a message and was delighted.,She says:,"""These are amazing news.""","a. The message brought good news.
b. The message brought negative news.
c. What she read was news to her.
d. She wanted to send a message.",Stella,Kristina,
"C1_25_A_I
",ambiguous,ironic,She,exam,intelligent,positive,Her answers in the exam were intelligent.,She says:,"""What a genius.""","a. Her exam answers were impressively smart.
b. Her exam answers were embarrassingly poor.
c. She had a high IQ.
d. She studied for her next exam.",Stella,Kristina,
C1_25_A_NI,ambiguous,non-ironic,She,exam,stupid,negative,Her answers in the exam were stupid.,She says:,"""What a genius.""","a. Her exam answers were impressively smart.
b. Her exam answers were embarrassingly poor.
c. She had a high IQ.
d. She studied for her next exam.",Stella,Kristina,
C1_25_UA_I,unambiguous,ironic,She,exam,brilliant,positive,Her answers in the exam were brilliant.,She says:,"""What a genius.""","a. Her exam answers were impressively smart.
b. Her exam answers were embarrassingly poor.
c. She had a high IQ.
d. She studied for her next exam.",Stella,Kristina,
C1_25_UA_NI,unambiguous,non-ironic,She,exam,idiotic,negative,Her answers in the exam were idiotic.,She says:,"""What a genius.""","a. Her exam answers were impressively smart.
b. Her exam answers were embarrassingly poor.
c. She had a high IQ.
d. She studied for her next exam.",Stella,Kristina,
C1_26_A_I,ambiguous,ironic,They,suggestion,stupid,negative,Their colleague's suggestion was stupid.,They said:,"""We really had luck with that one.""","a. They were genuinely fortunate to have such a strong suggestion.
b. As far as they were concerned, it was a poor suggestion.
c. They got lucky at the casino.
d. They thought that every project starts with a suggestion.",Stella,Kristina,
C1_26_A_NI,ambiguous,non-ironic,They,suggestion,intelligent,positive,Their colleague's suggestion was intelligent.,They said:,"""We really had luck with that one.""","a. They were genuinely fortunate to have such a strong suggestion.
b. As far as they were concerned, it was a poor suggestion.
c. They got lucky at the casino.
d. They thought that every project starts with a suggestion.",Stella,Kristina,
