Item_ID,context_level,irony_label,pronoun,key word,adjective,better adjectives,context,speaker,target_utterance,answering_options,Writer,Reviewer
C1_06_UA_NI,unambiguous,non-ironic,They,smoothie,delicious,,They took a sip of their smoothies and found it disgusting.,They say:,"""What a treat.""","1. The smoothie was thoroughly enjoyable.
2. The smoothie was thoroughly nasty.
3. She bought a new blender.
4. She was looking for a new smoothie recipe.",,
"C1_07_A_I
",ambiguous,ironic,They,babysitter,scared,,They hired a scared babysitter.,They say:,"""The kids are in good hands""","1. The babysitter were taking good care of the kids.
2. The babysitter were not taking good care of the kids.
3. The kids had very clean hands.
4. They booked a holiday trip.",Betti,
C1_07_A_NI,ambiguous,non-ironic,They,babysitter,fearless,,They hired a fearless babysitter.,They say:,"""The kids are in good hands""","1. The babysitter were taking good care of the kids.
2. The babysitter were not taking good care of the kids.
3. The kids had very clean hands.
4. They booked a holiday trip.",Betti,
C1_07_UA_I,unambiguous,ironic,They,babysitter,petrified,,They hired a petrified babysitter.,They say:,"""The kids are in good hands""","1. The babysitter were taking good care of the kids.
2. The babysitter were not taking good care of the kids.
3. The kids had very clean hands.
4. They booked a holiday trip.",Betti,
C1_07_UA_NI,unambiguous,non-ironic,They,babysitter,brave,,They hired a brave babysitter.,They say:,"""The kids are in good hands""","1. The babysitter were taking good care of the kids.
2. The babysitter were not taking good care of the kids.
3. The kids had very clean hands.
4. They booked a holiday trip.",Betti,
C1_08_A_I,ambiguous,ironic,They,police officer,scared,,They met a scared police officer.,They say:,"""We felt so save around you""","1. The police officer made them feel very safe.
2. The police officer did not make them feel safe at all.
3. They were sitting in a very safe seat.
4. They were looking for a new apartment.",Betti,
C1_08_A_NI,ambiguous,non-ironic,They,police officer,fearless,,They met a fearless police officer.,They say:,"""We felt so save around you""","1. The police officer made them feel very safe.
2. The police officer did not make them feel safe at all.
3. They were sitting in a very safe seat.
4. They were looking for a new apartment.",Betti,
C1_08_UA_I,unambiguous,ironic,They,police officer,petrified,,They met a petrified police officer.,They say:,"""We felt so save around you""","1. The police officer made them feel very safe.
2. The police officer did not make them feel safe at all.
3. They were sitting in a very safe seat.
4. They were looking for a new apartment.",Betti,
C1_08_UA_NI,unambiguous,non-ironic,They,police officer,brave,,They met a brave police officer.,They say:,"""We felt so save around you""","1. The police officer made them feel very safe.
2. The police officer did not make them feel safe at all.
3. They were sitting in a very safe seat.
4. They were looking for a new apartment.",Betti,
"C1_09_A_I
",ambiguous,ironic,She,pilot,scared,,She noticed the scared pilot was before boarding.,She says:,"""That really settled my nerves.""","1. Seeing the pilot put her completely at ease.
2. She noticed that the pilot made her feel even more anxious.
3. She settled into her seat and fastened the belt.
4. She always arrived early to avoid rushing at the gate.",Betti,
C1_09_A_NI,ambiguous,non-ironic,She,pilot,fearless,,She noticed the fearless pilot before boarding.,She says:,"""That really settled my nerves.""","1. Seeing the pilot put her completely at ease.
2. She noticed that the pilot made her feel even more anxious.
3. She settled into her seat and fastened the belt.
4. She always arrived early to avoid rushing at the gate.",Betti,
C1_09_UA_I,unambiguous,ironic,She,pilot,petrified,,She noticed the petrified pilot before boarding.,She says:,"""That really settled my nerves.""","1. Seeing the pilot put her completely at ease.
2. She noticed that the pilot made her feel even more anxious.
3. She settled into her seat and fastened the belt.
4. She always arrived early to avoid rushing at the gate.",Betti,
C1_09_UA_NI,unambiguous,non-ironic,She,pilot,brave,,She noticed the brave pilot before boarding.,She says:,"""That really settled my nerves.""","1. Seeing the pilot put her completely at ease.
2. She noticed that the pilot made her feel even more anxious.
3. She settled into her seat and fastened the belt.
4. She always arrived early to avoid rushing at the gate.",Betti,
C1_10_A_I,ambiguous,ironic,He,girlfriend,tired,,He saw his tired girlfriend.,He says:,"""You look so refreshed.""","1. To him, she looked well-rested and full of energy.
2. She clearly looked worn out, not refreshed at all.
3. He had just bought her a refreshing cold drink.
4. He was planning to surprise her with a home-cooked meal.",Betti,
C1_10_A_NI,ambiguous,non-ironic,He,girlfriend,energetic,,He saw his energetic girlfriend.,He says:,"""You look so refreshed.""","1. To him, she looked well-rested and full of energy.
2. She clearly looked worn out, not refreshed at all.
3. He had just bought her a refreshing cold drink.
4. He was planning to surprise her with a home-cooked meal.",Betti,
C1_10_UA_I,unambiguous,ironic,He,girlfriend,exhausted,powerless,He saw his exhausted girlfriend.,He says:,"""You look so refreshed.""","1. To him, she looked well-rested and full of energy.
2. She clearly looked worn out, not refreshed at all.
3. He had just bought her a refreshing cold drink.
4. He was planning to surprise her with a home-cooked meal.",Betti,
C1_10_UA_NI,unambiguous,non-ironic,He,girlfriend,hyperactive,exuberant ,He saw his hyperactive girlfriend.,He says:,"""You look so refreshed.""","1. To him, she looked well-rested and full of energy.
2. She clearly looked worn out, not refreshed at all.
3. He had just bought her a refreshing cold drink.
4. He was planning to surprise her with a home-cooked meal.",Betti,
"C1_11_A_I
",ambiguous,ironic,She,collegue,tired,,She saw her tired colleague.,She says:,"""You seem so full of energy today.""","1. Her colleague seemed very energetic today.
2. Her colleague seemed very tired today.
3. She filled up the car with energy.
4. She was redecorating her office.",Betti,
C1_11_A_NI,ambiguous,non-ironic,She,collegue,energetic,,She saw her energetic colleague.,She says:,"""You seem so full of energy today.""","1. Her colleague seemed very energetic today.
2. Her colleague seemed very tired today.
3. She filled up the car with energy.
4. She was redecorating her office.",Betti,
C1_11_UA_I,unambiguous,ironic,She,collegue,exhausted,,She saw her exhausted colleague.,She says:,"""You seem so full of energy today.""","1. Her colleague seemed very energetic today.
2. Her colleague seemed very tired today.
3. She filled up the car with energy.
4. She was redecorating her office.",Betti,
C1_11_UA_NI,unambiguous,non-ironic,She,collegue,hyperactive,,She saw her hyperactive colleague.,She says:,"""You seem so full of energy today.""","1. Her colleague seemed very energetic today.
2. Her colleague seemed very tired today.
3. She filled up the car with energy.
4. She was redecorating her office.",Betti,
C1_12_A_I,ambiguous,ironic,They,sleep over,tired,,After the slept over they were tired.,They say: ,"""We never felt more rested in our lifes.""","1. They felt very well-rested after the sleepover.
2. They felt really exhausted after the sleepover.
3. They rested the heavy boxes on the floor.
4. They were looking forward to the next weekend.",Betti,
C1_12_A_NI,ambiguous,non-ironic,They,sleep over,energetic,,After the slept over they were energetic.,They say: ,"""We never felt more rested in our lifes.""","1. They felt very well-rested after the sleepover.
2. They felt really exhausted after the sleepover.
3. They rested the heavy boxes on the floor.
4. They were looking forward to the next weekend.",Betti,
C1_12_UA_I,unambiguous,ironic,They,sleep over,exhausted,,After the slept over they were exhausted.,They say: ,"""We never felt more rested in our lifes.""","1. They felt very well-rested after the sleepover.
2. They felt really exhausted after the sleepover.
3. They rested the heavy boxes on the floor.
4. They were looking forward to the next weekend.",Betti,
C1_12_UA_NI,unambiguous,non-ironic,They,sleep over,hyperactive,,After the slept over they were hyperactive.,They say: ,"""We never felt more rested in our lifes.""","1. They felt very well-rested after the sleepover.
2. They felt really exhausted after the sleepover.
3. They rested the heavy boxes on the floor.
4. They were looking forward to the next weekend.",Betti,
"C1_13_A_I
",ambiguous,ironic,She,idea,old ,,She had an old idea.,She says:,"""Truly ahead of its time.""","1. Her idea was innovative.
2. Her idea was outdated.
3. She had arrived early.
4. She redecorated her office.",Stella,
C1_13_A_NI,ambiguous,non-ironic,She,idea,new,,She had a new idea.,She says:,"""Truly ahead of its time.""","1. Her idea was innovative.
2. Her idea was outdated.
3. She had arrived early.
4. She redecorated her office.",Stella,
C1_13_UA_I,unambiguous,ironic,She,idea,ancient,,She had an ancient idea.,She says:,"""Truly ahead of its time.""","1. Her idea was innovative.
2. Her idea was outdated.
3. She had arrived early.
4. She redecorated her office.",Stella,
C1_13_UA_NI,unambiguous,non-ironic,She,idea,novel,,She had a novel idea.,She says:,"""Truly ahead of its time.""","1. Her idea was innovative.
2. Her idea was outdated.
3. She had arrived early.
4. She redecorated her office.",Stella,
C1_14_A_I,ambiguous,ironic,She,birthday,happy,,She left the birthday party feeling happy.,She says:,"""Truly a night to remember.""","1. The birthday party was a great success.
2. The birthday party was a disappointment.
3. She had trouble remembering things.
4. She planned her next holiday.",Stella,
C1_14_A_NI,ambiguous,non-ironic,She,birthday,sad,,She left the birthday party feeling sad.,She says:,"""Truly a night to remember.""","1. The birthday party was a great success.
2. The birthday party was a disappointment.
3. She had trouble remembering things.
4. She planned her next holiday.",Stella,
C1_14_UA_I,unambiguous,ironic,She,birthday,delighted,,She left the birthday party feeling delighted.,She says:,"""Truly a night to remember.""","1. The birthday party was a great success.
2. The birthday party was a disappointment.
3. She had trouble remembering things.
4. She planned her next holiday.",Stella,
C1_14_UA_NI,unambiguous,non-ironic,She,birthday,miserable,,She left the birthday party feeling miserable.,She says:,"""Truly a night to remember.""","1. The birthday party was a great success.
2. The birthday party was a disappointment.
3. She had trouble remembering things.
4. She planned her next holiday.",Stella,
"C1_15_A_I
",ambiguous,ironic,She,exam,intelligent,,Her answers in the exam were intelligent.,She says:,"""What a genius.""","1. Her exam answers were impressively smart.
2. Her exam answers were embarrassingly poor.
3. She had a high IQ.
4. She studied for her next exam.",Stella,
C1_15_A_NI,ambiguous,non-ironic,She,exam,stupid,,Her answers in the exam were stupid.,She says:,"""What a genius.""","1. Her exam answers were impressively smart.
2. Her exam answers were embarrassingly poor.
3. She had a high IQ.
4. She studied for her next exam.",Stella,
C1_15_UA_I,unambiguous,ironic,She,exam,brilliant,,Her answers in the exam were brilliant.,She says:,"""What a genius.""","1. Her exam answers were impressively smart.
2. Her exam answers were embarrassingly poor.
3. She had a high IQ.
4. She studied for her next exam.",Stella,
C1_15_UA_NI,unambiguous,non-ironic,She,exam,idiotic,,Her answers in the exam were idiotic.,She says:,"""What a genius.""","1. Her exam answers were impressively smart.
2. Her exam answers were embarrassingly poor.
3. She had a high IQ.
4. She studied for her next exam.",Stella,
C1_16_A_I,ambiguous,ironic,He,restaurant visit,satiated,,After the restaurant visit he was satiated.,He says:,"""Best dinner ever.""","1. The dinner was genuinely outstanding.
2. The meal was a real disappointment.
3. It was the best-reviewed dinner spot in the whole city.
4. He looked forward to this restaurant for weeks.",Stella,
C1_16_A_NI,ambiguous,non-ironic,He,restaurant visit,hungry,,After the restaurant visit he was hungry.,He says:,"""Best dinner ever.""","1. The dinner was genuinely outstanding.
2. The meal was a real disappointment.
3. It was the best-reviewed dinner spot in the whole city.
4. He looked forward to this restaurant for weeks.",Stella,
C1_16_UA_I,unambiguous,ironic,He,restaurant visit,full,,After the restaurant visit he was full.,He says:,"""Best dinner ever.""","1. The dinner was genuinely outstanding.
2. The meal was a real disappointment.
3. It was the best-reviewed dinner spot in the whole city.
4. He looked forward to this restaurant for weeks.",Stella,
C1_16_UA_NI,unambiguous,non-ironic,He,restaurant visit,starving,,After the restaurant visit he was starving.,He says:,"""Best dinner ever.""","1. The dinner was genuinely outstanding.
2. The meal was a real disappointment.
3. It was the best-reviewed dinner spot in the whole city.
4. He looked forward to this restaurant for weeks.",Stella,
"C1_17_A_I
",ambiguous,ironic,She,library ,loud,,She walked into the library and it was loud.,She says:,"""Perfect place to concentrate.""","1. The library was a calm and quiet environment.
2. The library was far too noisy to concentrate.
3. She forgot her library card.
4. She looked for a new book to read.",Stella,
C1_17_A_NI,ambiguous,non-ironic,She,library ,quiet,,She walked into the library and it was quiet.,She says:,"""Perfect place to concentrate.""","1. The library was a calm and quiet environment.
2. The library was far too noisy to concentrate.
3. She forgot her library card.
4. She looked for a new book to read.",Stella,
C1_17_UA_I,unambiguous,ironic,She,library ,deafening,,She walked into the library and it was deafening.,She says:,"""Perfect place to concentrate.""","1. The library was a calm and quiet environment.
2. The library was far too noisy to concentrate.
3. She forgot her library card.
4. She looked for a new book to read.",Stella,
C1_17_UA_NI,unambiguous,non-ironic,She,library ,inaudible,,She walked into the library and it was inaudible.,She says:,"""Perfect place to concentrate.""","1. The library was a calm and quiet environment.
2. The library was far too noisy to concentrate.
3. She forgot her library card.
4. She looked for a new book to read.",Stella,
C1_18_A_I,ambiguous,ironic,He,approach,old,,It was an old approach. ,He says:,"""How refreshingly innovative.""","1. He found the approach genuinely new and creative.
2. In his view, it was a stale method he had seen many times before.
3. Refreshments were served at the end of the presentation.
4. He researched new methods for several months.",Stella,
C1_18_A_NI,ambiguous,non-ironic,He,approach,new,,It was a new approach. ,He says:,"""How refreshingly innovative.""","1. He found the approach genuinely new and creative.
2. In his view, it was a stale method he had seen many times before.
3. Refreshments were served at the end of the presentation.
4.He researched new methods for several months.",Stella,
C1_18_UA_I,unambiguous,ironic,He,approach,ancient,,It was an ancient approach.,He says:,"""How refreshingly innovative.""","1. He found the approach genuinely new and creative.
2. In his view, it was a stale method he had seen many times before.
3. Refreshments were served at the end of the presentation.
4. He researched new methods for several months.",Stella,
C1_18_UA_NI,unambiguous,non-ironic,He,approach,novel,,It was a novel approach. ,He says:,"""How refreshingly innovative.""","1. He found the approach genuinely new and creative.
2. In his view, it was a stale method he had seen many times before.
3. Refreshments were served at the end of the presentation.
4. He researched new methods for several months.",Stella,
"C1_19_A_I
",ambiguous,ironic,She,wedding,happy,,She left the wedding feeling happy.,She says:,"""What a magical day.""","1. The wedding was a beautiful and enchanting occasion.
2. It had been a dull, disappointing event from start to finish.
3. The magician wowed all the guests at the reception.
4. She helped organise the flower arrangements beforehand.",Stella,
C1_19_A_NI,ambiguous,non-ironic,She,wedding,sad,,She left the wedding feeling sad.,She says:,"""What a magical day.""","1. The wedding was a beautiful and enchanting occasion.
2. It had been a dull, disappointing event from start to finish.
3. The magician wowed all the guests at the reception.
4. She helped organise the flower arrangements beforehand.",Stella,
C1_19_UA_I,unambiguous,ironic,She,wedding,delighted,,She left the wedding feeling delighted.,She says:,"""What a magical day.""","1. The wedding was a beautiful and enchanting occasion.
2. It had been a dull, disappointing event from start to finish.
3. The magician wowed all the guests at the reception.
4.She helped organise the flower arrangements beforehand.",Stella,
C1_19_UA_NI,unambiguous,non-ironic,She,wedding,miserable,,She left the wedding feeling miserable.,She says:,"""What a magical day.""","1. The wedding was a beautiful and enchanting occasion.
2. It had been a dull, disappointing event from start to finish.
3. The magician wowed all the guests at the reception.
4. She helped organise the flower arrangements beforehand.",Stella,
C1_20_A_I,ambiguous,ironic,They,colleague,intelligent,,His colleague's suggestion was intelligent.,They say:,"""We really lucked out with that one.""","1. They were genuinely fortunate to have such a strong suggestion.
2. As far as they were concerned, it was a poor suggestion they were stuck with.
3. He got lucky at the casino and it was his favourite pastime.
4. They discussed the project proposal all morning.",Stella,
C1_20_A_NI,ambiguous,non-ironic,They,colleague,stupid,,His colleague's suggestion was stupid.,They say:,"""We really lucked out with that one.""","1. They were genuinely fortunate to have such a strong suggestion.
2. As far as they were concerned, it was a poor suggestion they were stuck with.
3. He got lucky at the casino and it was his favourite pastime.
4. They discussed the project proposal all morning.",Stella,
C1_20_UA_I,unambiguous,ironic,They,colleague,brilliant,,His colleague's suggestion was brilliant.,They say:,"""We really lucked out with that one.""","1. They were genuinely fortunate to have such a strong suggestion.
2. As far as they were concerned, it was a poor suggestion they were stuck with.
3. He got lucky at the casino and it was his favourite pastime.
4. They discussed the project proposal all morning.",Stella,
C1_20_UA_NI,unambiguous,non-ironic,They,colleague,idiotic,,His colleague's suggestion was idiotic.,They say:,"""We really lucked out with that one.""","1. They were genuinely fortunate to have such a strong suggestion.
2. As far as they were concerned, it was a poor suggestion they were stuck with.
3. He got lucky at the casino and it was his favourite pastime.
4. They discussed the project proposal all morning.",Stella,
"C1_21_A_I
",ambiguous,ironic,He,buffet ,satiated,,He left the buffet feeling satiated.,He says:,"""Truly a feast for the senses."" ","1. The buffet was a rich and satisfying spread.
2. He left feeling let down — there had been very little worth eating.
3. The feast day was celebrated every year in their village.
4. He looked forward to the event all week.",Stella,
C1_21_A_NI,ambiguous,non-ironic,He,buffet ,hungry,,He left the buffet feeling hungry.,He says:,"""Truly a feast for the senses."" ","1. The buffet was a rich and satisfying spread.
2. He left feeling let down — there had been very little worth eating.
3. The feast day was celebrated every year in their village.
4. He looked forward to the event all week.",Stella,
C1_21_UA_I,unambiguous,ironic,He,buffet ,full,,He left the buffet feeling full.,He says:,"""Truly a feast for the senses."" ","1. The buffet was a rich and satisfying spread.
2. He left feeling let down — there had been very little worth eating.
3. The feast day was celebrated every year in their village.
4. He looked forward to the event all week.",Stella,
C1_21_UA_NI,unambiguous,non-ironic,He,buffet ,starving,,He left the buffet feeling starving.,He says:,"""Truly a feast for the senses."" ","1. The buffet was a rich and satisfying spread.
2. He left feeling let down — there had been very little worth eating.
3. The feast day was celebrated every year in their village.
4. He looked forward to the event all week.",Stella,
C1_22_A_I,ambiguous,ironic,She,lecture,loud,,She sat through the entire lecture and found it loud.,She says:,"""Could barely stay awake.""","1. The lecture was engaging and easy to follow.
2. The lecture was dull and hard to sit through.
3. She forgot to set her alarm.
4. She was looking for a new course to take.",Stella,
C1_22_A_NI,ambiguous,non-ironic,She,lecture,quiet,,She sat through the entire lecture and found it quiet.,She says:,"""Could barely stay awake.""","1. The lecture was engaging and easy to follow.
2. The lecture was dull and hard to sit through.
3. She forgot to set her alarm.
4. She was looking for a new course to take.",Stella,
C1_22_UA_I,unambiguous,ironic,She,lecture,deafening,,She sat through the entire lecture and found it deafening.,She says:,"""Could barely stay awake.""","1. The lecture was engaging and easy to follow.
2. The lecture was dull and hard to sit through.
3. She forgot to set her alarm.
4. She was looking for a new course to take.",Stella,
C1_22_UA_NI,unambiguous,non-ironic,She,lecture,inaudible ,,She sat through the entire lecture and found it inaudible.,She says:,"""Could barely stay awake.""","1. The lecture was engaging and easy to follow.
2. The lecture was dull and hard to sit through.
3. She forgot to set her alarm.
4. She was looking for a new course to take.",Stella,
"C1_23_A_I
",ambiguous,ironic,She,tradition ,old ,,The tradition was old.,She says:,"""How wonderfully timeless.""","1. She found the tradition beautifully enduring and meaningful.
2. To her, it felt stale and long past its use.
3. The clock ticked for over a century.
4. She read about the tradition in a local history book.",Stella,
C1_23_A_NI,ambiguous,non-ironic,She,tradition ,new,,The tradition was new.,She says:,"""How wonderfully timeless.""","1. She found the tradition beautifully enduring and meaningful.
2. To her, it felt stale and long past its use.
3. The clock ticked for over a century.
4. She read about the tradition in a local history book.",Stella,
C1_23_UA_I,unambiguous,ironic,She,tradition ,ancient,,The tradition was ancient.,She says:,"""How wonderfully timeless.""","1. She found the tradition beautifully enduring and meaningful.
2. To her, it felt stale and long past its use.
3. The clock ticked for over a century.
4. She read about the tradition in a local history book.",Stella,
C1_23_UA_NI,unambiguous,non-ironic,She,tradition ,novel,,The tradition was novel.,She says:,"""How wonderfully timeless.""","1. She found the tradition beautifully enduring and meaningful.
2. To her, it felt stale and long past its use.
3. The clock ticked for over a century.
4. She read about the tradition in a local history book.",Stella,
C1_24_A_I,ambiguous,ironic,They,funeral,happy,,They left the funeral feeling happy.,They say:,"""A truly moving farewell.""","1. The farewell ceremony was deeply touching for everyone present.
2. They felt it had been a cold, hollow, and unmemorable goodbye.
3. The removal van was moved to the front of the house.
4. They travelled a long way to attend the service.",Stella,
C1_24_A_NI,ambiguous,non-ironic,They,funeral,sad,,They left the funeral feeling sad.,They say:,"""A truly moving farewell.""","1. The farewell ceremony was deeply touching for everyone present.
2. They felt it had been a cold, hollow, and unmemorable goodbye.
3. The removal van was moved to the front of the house.
4. They travelled a long way to attend the service.",Stella,
C1_24_UA_I,unambiguous,ironic,They,funeral,delighted,,They left the funeral feeling delighted.,They say:,"""A truly moving farewell.""","1. The farewell ceremony was deeply touching for everyone present.
2. They felt it had been a cold, hollow, and unmemorable goodbye.
3. The removal van was moved to the front of the house.
4. They travelled a long way to attend the service.",Stella,
C1_24_UA_NI,unambiguous,non-ironic,They,funeral,miserable ,,They left the funeral feeling miserable .,They say:,"""A truly moving farewell.""","1. The farewell ceremony was deeply touching for everyone present.
2. They felt it had been a cold, hollow, and unmemorable goodbye.
3. The removal van was moved to the front of the house.
4. They travelled a long way to attend the service.",Stella,
"C1_25_A_I
",ambiguous,ironic,She,debate,intelligent,,His argument in the debate was intelligent.,She says:,"""What a master of rhetoric.""","1. His debating skills were genuinely impressive to watch.
2. His argument was weak and poorly constructed throughout.
3. The debate club met every Thursday evening after class.
4. She judged the competition that night.",Stella,
C1_25_A_NI,ambiguous,non-ironic,She,debate,stupid,,His argument in the debate was stupid.,She says:,"""What a master of rhetoric.""","1. His debating skills were genuinely impressive to watch.
2. His argument was weak and poorly constructed throughout.
3. The debate club met every Thursday evening after class.
4. She judged the competition that night.",Stella,
C1_25_UA_I,unambiguous,ironic,She,debate,brilliant,,His argument in the debate was brilliant.,She says:,"""What a master of rhetoric.""","1. His debating skills were genuinely impressive to watch.
2. His argument was weak and poorly constructed throughout.
3. The debate club met every Thursday evening after class.
4. She judged the competition that night.",Stella,
C1_25_UA_NI,unambiguous,non-ironic,She,debate,idiotic,,His argument in the debate was idiotic.,She says:,"""What a master of rhetoric.""","1. His debating skills were genuinely impressive to watch.
2. His argument was weak and poorly constructed throughout.
3. The debate club met every Thursday evening after class.
4. She judged the competition that night.",Stella,
C1_26_A_I,ambiguous,ironic,They,picnic,satiated,,They left the picnic feeling satiated.,They say:,"""Food for the soul.""","1. The picnic was nourishing and genuinely enjoyable.
2. There was barely anything to eat; they left unsatisfied.
3. She always kept her soul music collection in good order.
4. They spent the morning preparing sandwiches and snacks.",Stella,
C1_26_A_NI,ambiguous,non-ironic,They,picnic,hungry,,They left the picnic feeling hungry.,They say:,"""Food for the soul.""","1. The picnic was nourishing and genuinely enjoyable.
2. There was barely anything to eat; they left unsatisfied.
3. She always kept her soul music collection in good order.
4. They spent the morning preparing sandwiches and snacks.",Stella,
C1_26_UA_I,unambiguous,ironic,They,picnic,full,,They left the picnic feeling full.,They say:,"""Food for the soul.""","1. The picnic was nourishing and genuinely enjoyable.
2. There was barely anything to eat; they left unsatisfied.
3. She always kept her soul music collection in good order.
4. They spent the morning preparing sandwiches and snacks.",Stella,
