item_id,cg_level,irony_label,context_type,topic,pronoun,tense,context,cg_framing,Explicit_sentence,target_utterance
C2_06_H_I,high,ironic,situational,online delivery,I,past simple,The parcel was marked delivered but was nowhere to be found for four days.,My housemate had been waiting in for it too and was just as frustrated as I was.,,Well that arrived quickly.
C2_06_L_I,low,ironic,situational,online delivery,I,past simple,The parcel was marked delivered but was nowhere to be found for four days.,I mentioned it to someone I had just started chatting with online who knew nothing about my order.,,Well that arrived quickly.
C2_06_H_N,high,non-ironic,situational,online delivery,I,past simple,The parcel arrived a day early and was left exactly where I had requested.,My housemate had been in all day and had brought it in the moment it was delivered.,,Well that arrived quickly.
C2_06_L_N,low,non-ironic,situational,online delivery,I,past simple,The parcel arrived a day early and was left exactly where I had requested.,I mentioned it to someone I had just started chatting with online who knew nothing about the order.,,Well that arrived quickly.
C2_07_H_I,high,ironic,situational,train journey,they,past simple,The train was cancelled and the replacement bus broke down on the motorway.,Both of them had been stranded together and had shared the same long wait on the platform.,,What a reliable service.
C2_07_L_I,low,ironic,situational,train journey,they,past simple,The train was cancelled and the replacement bus broke down on the motorway.,One of them described the journey to a friend who had stayed at home that day.,,What a reliable service.
C2_07_H_N,high,non-ironic,situational,train journey,they,past simple,The train arrived two minutes early and they found seats straight away.,Both of them had made the trip together and had been pleasantly surprised by how smoothly it went.,,What a reliable service.
C2_07_L_N,low,non-ironic,situational,train journey,they,past simple,The train arrived two minutes early and they found seats straight away.,One of them described the journey to a friend who had stayed at home that day.,,What a reliable service.
C2_08_H_I,high,ironic,situational,car repair,she,past perfect,She had been told two hours and had got it back three days later.,Her partner had dropped her off and had been following the whole saga from the start.,,That was a quick turnaround.
C2_08_L_I,low,ironic,situational,car repair,she,past perfect,She had been told two hours and had got it back three days later.,She mentioned it to a new colleague who had no idea she had even taken the car in.,,That was a quick turnaround.
C2_08_H_N,high,non-ironic,situational,car repair,she,past perfect,It had been ready within the hour and they had called her before she reached the caf�.,"Her partner had dropped her off and had been updated throughout, so no explanation was needed.",,That was a quick turnaround.
C2_08_L_N,low,non-ironic,situational,car repair,she,past perfect,It had been ready within the hour and they had called her before she reached the caf�.,She mentioned it to a new colleague who had no idea she had even taken the car in.,,That was a quick turnaround.
C2_09_H_I,high,ironic,situational,camping trip,he,past simple,The tent collapsed in the night and it rained the entire weekend.,His camping companion had lived through every moment of it and needed no explanation.,,That was a proper outdoor adventure.
C2_09_L_I,low,ironic,situational,camping trip,he,past simple,The tent collapsed in the night and it rained the entire weekend.,He described the trip to a relative who had not known he was going away at all.,,That was a proper outdoor adventure.
C2_09_H_N,high,non-ironic,situational,camping trip,he,past simple,The weather was perfect and he came home feeling refreshed and energised.,His camping companion had been there throughout and had already said it was the best trip they had taken.,,That was a proper outdoor adventure.
C2_09_L_N,low,non-ironic,situational,camping trip,he,past simple,The weather was perfect and he came home feeling refreshed and energised.,He described the trip to a relative who had not known he was going away at all.,,That was a proper outdoor adventure.
C2_10_H_I,high,ironic,situational,software update,I,past simple,The update forced a restart right as the call started and I missed the first ten minutes.,My colleague on the call had watched my screen freeze and already knew exactly what had gone wrong.,,That was well timed.
C2_10_L_I,low,ironic,situational,software update,I,past simple,The update forced a restart right as the call started and I missed the first ten minutes.,I mentioned it to a friend who had not been on the call and had no idea I had had any trouble.,,That was well timed.
C2_10_H_N,high,non-ironic,situational,software update,I,past simple,The update finished with ten minutes to spare and the new version ran perfectly.,My colleague on the call had seen the whole thing go smoothly from their end.,,That was well timed.
C2_10_L_N,low,non-ironic,situational,software update,I,past simple,The update finished with ten minutes to spare and the new version ran perfectly.,I mentioned it to a friend who had not been on the call and had no idea how it had gone.,,That was well timed.
C2_11_H_I,high,ironic,relational,group project,they,past perfect,Two members had done nothing and the rest had found out at midnight before the deadline.,Everyone in the group had been part of the same experience and knew exactly how it had unfolded.,,What a team effort.
C2_11_L_I,low,ironic,relational,group project,they,past perfect,Two members had done nothing and the rest had found out at midnight before the deadline.,One member described it to a student from a different course who had no connection to the project.,,What a team effort.
C2_11_H_N,high,non-ironic,relational,group project,they,past perfect,"Everyone had contributed, communicated clearly and delivered well ahead of schedule.",Everyone in the group had been through it together and shared the same sense of how well it had gone.,,What a team effort.
C2_11_L_N,low,non-ironic,relational,group project,they,past perfect,"Everyone had contributed, communicated clearly and delivered well ahead of schedule.",One member described it to a student from a different course who had no connection to the project.,,What a team effort.
C2_12_H_I,high,ironic,relational,surprise party,she,past simple,She arrived home to find nobody there and a reminder that everyone had cancelled.,Her sister had been one of the people who cancelled and already knew the whole story.,,What a wonderful surprise.
C2_12_L_I,low,ironic,relational,surprise party,she,past simple,She arrived home to find nobody there and a reminder that everyone had cancelled.,She mentioned it to someone at work who had not known about the plans at all.,,What a wonderful surprise.
C2_12_H_N,high,non-ironic,relational,surprise party,she,past simple,Her friends had decorated the flat and baked her favourite cake.,Her sister had helped organise it and already knew how well the evening had gone.,,What a wonderful surprise.
C2_12_L_N,low,non-ironic,relational,surprise party,she,past simple,Her friends had decorated the flat and baked her favourite cake.,She mentioned it to someone at work who had not known about the plans at all.,,What a wonderful surprise.
C2_13_H_I,high,ironic,relational,colleague feedback,he,past simple,His colleague had picked apart every sentence without offering a single suggestion.,A third colleague had been copied on the exchange and had read the whole thread.,,That was really constructive feedback.
C2_13_L_I,low,ironic,relational,colleague feedback,he,past simple,His colleague had picked apart every sentence without offering a single suggestion.,He told a friend outside work who had never met his colleague and knew nothing of the report.,,That was really constructive feedback.
C2_13_H_N,high,non-ironic,relational,colleague feedback,he,past simple,His colleague had highlighted three strong points and offered two clear improvements.,A third colleague had been copied in and had seen the whole exchange from the beginning.,,That was really constructive feedback.
C2_13_L_N,low,non-ironic,relational,colleague feedback,he,past simple,His colleague had highlighted three strong points and offered two clear improvements.,He told a friend outside work who had never met his colleague and knew nothing of the report.,,That was really constructive feedback.
C2_14_H_I,high,ironic,relational,coordinating plans,I,past simple,It took three group chats and two last-minute cancellations to agree on anything.,Everyone in the group had been part of the same chaotic thread and knew exactly what it had taken.,,That was easy to organise.
C2_14_L_I,low,ironic,relational,coordinating plans,I,past simple,It took three group chats and two last-minute cancellations to agree on anything.,I told someone who had not been invited and had no idea any planning had been going on.,,That was easy to organise.
C2_14_H_N,high,non-ironic,relational,coordinating plans,I,past simple,Everyone replied within the hour and we agreed on a time and place in two messages.,Everyone in the group had been part of it and had already commented on how smoothly it had come together.,,That was easy to organise.
C2_14_L_N,low,non-ironic,relational,coordinating plans,I,past simple,Everyone replied within the hour and we agreed on a time and place in two messages.,I told someone who had not been invited and had no idea any planning had been going on.,,That was easy to organise.
C2_15_H_I,high,ironic,relational,dinner with family,they,past simple,An argument broke out over dessert and two people left before coffee.,Everyone at the table had been present for the argument and no one needed it explained.,,That was a relaxing evening.
C2_15_L_I,low,ironic,relational,dinner with family,they,past simple,An argument broke out over dessert and two people left before coffee.,One of them described the evening to a partner who had stayed at home and heard nothing about it.,,That was a relaxing evening.
C2_15_H_N,high,non-ironic,relational,dinner with family,they,past simple,"They talked for hours, laughed a lot and no one wanted to leave.",Everyone present had shared the same warm evening and was still talking about it the next day.,,That was a relaxing evening.
C2_15_L_N,low,non-ironic,relational,dinner with family,they,past simple,"They talked for hours, laughed a lot and no one wanted to leave.",One of them described the evening to a partner who had stayed at home and heard nothing about it.,,That was a relaxing evening.
C2_16_H_I,high,ironic,relational,asking for help,she,past perfect,Nobody had responded to her message and she had ended up managing everything alone.,Her manager had seen the unanswered message in the team channel and already knew the situation.,,That was so kind of them.
C2_16_L_I,low,ironic,relational,asking for help,she,past perfect,Nobody had responded to her message and she had ended up managing everything alone.,She mentioned it to a friend in a different department who had no knowledge of what had happened.,,That was so kind of them.
C2_16_H_N,high,non-ironic,relational,asking for help,she,past perfect,Two colleagues had stayed late without being asked to help her finish on time.,Her manager had been aware of the situation throughout and had seen how the team had stepped up.,,That was so kind of them.
C2_16_L_N,low,non-ironic,relational,asking for help,she,past perfect,Two colleagues had stayed late without being asked to help her finish on time.,She mentioned it to a friend in a different department who had no knowledge of what had happened.,,That was so kind of them.
C2_17_H_I,high,ironic,relational,shared task at home,he,past simple,He had done everything while his flatmate was out the whole weekend.,His flatmate had come home to a clean flat and knew perfectly well who had done it.,,That was a fair split of the work.
C2_17_L_I,low,ironic,relational,shared task at home,he,past simple,He had done everything while his flatmate was out the whole weekend.,He mentioned it to a friend who had not been there and had no idea how the chores were divided.,,That was a fair split of the work.
C2_17_H_N,high,non-ironic,relational,shared task at home,he,past simple,They both worked steadily and finished the flat in under two hours.,His flatmate had been there the whole time and was well aware of how evenly the work had been shared.,,That was a fair split of the work.
C2_17_L_N,low,non-ironic,relational,shared task at home,he,past simple,They both worked steadily and finished the flat in under two hours.,He mentioned it to a friend who had not been there and had no idea how the chores were divided.,,That was a fair split of the work.
C2_18_H_I,high,ironic,relational,meeting a deadline together,I,past simple,My partner submitted the wrong file and I had to redo their section at midnight.,My partner was on the same project and already knew exactly how events had unfolded.,,We really pulled together on that one.
C2_18_L_I,low,ironic,relational,meeting a deadline together,I,past simple,My partner submitted the wrong file and I had to redo their section at midnight.,I mentioned it to a friend who had no idea we had been working on anything together.,,We really pulled together on that one.
C2_18_H_N,high,non-ironic,relational,meeting a deadline together,I,past simple,My partner delivered their section early and we submitted together with time to spare.,My partner had been part of every step and already knew how well we had managed it.,,We really pulled together on that one.
C2_18_L_N,low,non-ironic,relational,meeting a deadline together,I,past simple,My partner delivered their section early and we submitted together with time to spare.,I mentioned it to a friend who had no idea we had been working on anything together.,,We really pulled together on that one.
C2_19_H_I,high,ironic,relational,receiving advice,they,past simple,Their mentor dismissed the concern and told them to stop overthinking it.,A friend had recommended the mentor and had already heard how the session had gone.,,That was exactly what I needed to hear.
C2_19_L_I,low,ironic,relational,receiving advice,they,past simple,Their mentor dismissed the concern and told them to stop overthinking it.,They told a new acquaintance who had never met the mentor and knew nothing of the issue.,,That was exactly what I needed to hear.
C2_19_H_N,high,non-ironic,relational,receiving advice,they,past simple,Their mentor listened carefully and offered a perspective they had not considered.,A friend had recommended the mentor and had heard immediately how valuable the conversation had been.,,That was exactly what I needed to hear.
C2_19_L_N,low,non-ironic,relational,receiving advice,they,past simple,Their mentor listened carefully and offered a perspective they had not considered.,They told a new acquaintance who had never met the mentor and knew nothing of the issue.,,That was exactly what I needed to hear.
C2_20_H_I,high,ironic,relational,medical appointment,she,past perfect,The doctor had spent four minutes with her and told her to come back if it got worse.,"Her partner had come along and had been sitting in the waiting room the whole time, fully aware of how brief it had been.",,That doctor was so thorough.
C2_20_L_I,low,ironic,relational,medical appointment,she,past perfect,The doctor had spent four minutes with her and told her to come back if it got worse.,She mentioned it to a distant relative who had no knowledge of her health situation at all.,,That doctor was so thorough.
C2_20_H_N,high,non-ironic,relational,medical appointment,she,past perfect,The doctor had asked detailed questions and explained every step of the diagnosis.,Her partner had come along and had heard the full consultation through the open door.,,That doctor was so thorough.
C2_20_L_N,low,non-ironic,relational,medical appointment,she,past perfect,The doctor had asked detailed questions and explained every step of the diagnosis.,She mentioned it to a distant relative who had no knowledge of her health situation at all.,,That doctor was so thorough.
C2_21_H_I,high,ironic,emotional,exam result,he,past simple,He failed despite studying every day for a month.,His study partner had revised alongside him and knew exactly how much work he had put in.,,Well that was worth all the effort.
C2_21_L_I,low,ironic,emotional,exam result,he,past simple,He failed despite studying every day for a month.,He told a relative abroad who had no idea he had even been sitting an exam.,,Well that was worth all the effort.
C2_21_H_N,high,non-ironic,emotional,exam result,he,past simple,He passed with distinction and his tutor sent a personal note of congratulation.,His study partner had been through the same revision process and was just as delighted by the result.,,Well that was worth all the effort.
C2_21_L_N,low,non-ironic,emotional,exam result,he,past simple,He passed with distinction and his tutor sent a personal note of congratulation.,He told a relative abroad who had no idea he had even been sitting an exam.,,Well that was worth all the effort.
C2_22_H_I,high,ironic,emotional,first day at a new job,I,past simple,My laptop did not work and I sat in the wrong team meeting for an hour.,My new manager had been copied on the IT ticket and was already aware of the laptop issue.,,That was a great start.
C2_22_L_I,low,ironic,emotional,first day at a new job,I,past simple,My laptop did not work and I sat in the wrong team meeting for an hour.,I mentioned it to an old friend who had no idea I had started a new job that week.,,That was a great start.
C2_22_H_N,high,non-ironic,emotional,first day at a new job,I,past simple,My manager introduced me to everyone and I left feeling energised and welcomed.,My new manager had been with me for most of the day and had seen how well the introductions had gone.,,That was a great start.
C2_22_L_N,low,non-ironic,emotional,first day at a new job,I,past simple,My manager introduced me to everyone and I left feeling energised and welcomed.,I mentioned it to an old friend who had no idea I had started a new job that week.,,That was a great start.
C2_23_H_I,high,ironic,emotional,public speech,she,past perfect,She had lost her place twice and the microphone had cut out during the key section.,Her co-presenter had been on stage beside her and had witnessed the whole thing.,,That speech was memorable.
C2_23_L_I,low,ironic,emotional,public speech,she,past perfect,She had lost her place twice and the microphone had cut out during the key section.,She mentioned it to someone who had not attended and had only heard there was an event.,,That speech was memorable.
C2_23_H_N,high,non-ironic,emotional,public speech,she,past perfect,The audience had given her a standing ovation and three people had approached her afterwards.,Her co-presenter had been on stage beside her and had already told her how impressive it had been.,,That speech was memorable.
C2_23_L_N,low,non-ironic,emotional,public speech,she,past perfect,The audience had given her a standing ovation and three people had approached her afterwards.,She mentioned it to someone who had not attended and had only heard there was an event.,,That speech was memorable.
C2_24_H_I,high,ironic,emotional,creative project,they,past simple,The printing error made the colours wrong and the whole batch had to be redone.,Their creative partner had been involved throughout and knew the full history of the problem.,,That turned out exactly as planned.
C2_24_L_I,low,ironic,emotional,creative project,they,past simple,The printing error made the colours wrong and the whole batch had to be redone.,They described the outcome to a friend outside the industry who had no idea what the project involved.,,That turned out exactly as planned.
C2_24_H_N,high,non-ironic,emotional,creative project,they,past simple,The final piece looked even better than the mock-up and the client approved it at once.,Their creative partner had been involved at every stage and had already called it a success.,,That turned out exactly as planned.
C2_24_L_N,low,non-ironic,emotional,creative project,they,past simple,The final piece looked even better than the mock-up and the client approved it at once.,They described the outcome to a friend outside the industry who had no idea what the project involved.,,That turned out exactly as planned.
C2_25_H_I,high,ironic,emotional,learning to drive,he,past simple,He failed for the third time on the same junction he had practised over and over.,His instructor had been in the car and had seen exactly what had happened at the junction.,,That test was no problem at all.
C2_25_L_I,low,ironic,emotional,learning to drive,he,past simple,He failed for the third time on the same junction he had practised over and over.,He told a friend who lived abroad and had no idea he had been taking driving lessons.,,That test was no problem at all.
C2_25_H_N,high,non-ironic,emotional,learning to drive,he,past simple,He passed first time and his instructor said it was one of the cleanest tests she had seen.,His instructor had been in the car beside him and had already praised the drive on the way back.,,That test was no problem at all.
C2_25_L_N,low,non-ironic,emotional,learning to drive,he,past simple,He passed first time and his instructor said it was one of the cleanest tests she had seen.,He told a friend who lived abroad and had no idea he had been taking driving lessons.,,That test was no problem at all.
C2_26_H_I,high,ironic,emotional,sports competition,I,past simple,I came last and pulled a muscle on the first bend.,My coach had been at the finish line and had timed every split of the race.,,That was my best performance yet.
C2_26_L_I,low,ironic,emotional,sports competition,I,past simple,I came last and pulled a muscle on the first bend.,I told a colleague who had not known I competed and had no idea the event was happening.,,That was my best performance yet.
C2_26_H_N,high,non-ironic,emotional,sports competition,I,past simple,I shaved thirty seconds off my personal best and felt strong the whole way round.,My coach had been at the trackside and had already logged the new personal best.,,That was my best performance yet.
C2_26_L_N,low,non-ironic,emotional,sports competition,I,past simple,I shaved thirty seconds off my personal best and felt strong the whole way round.,I told a colleague who had not known I competed and had no idea the event was happening.,,That was my best performance yet.
C2_27_H_I,high,ironic,emotional,cooking for guests,she,past simple,She burned the main course and ended up ordering takeaway twenty minutes before guests arrived.,Her guests had all been at the table and had lived through the smoke alarm and the takeaway boxes.,,Well that was a culinary triumph.
C2_27_L_I,low,ironic,emotional,cooking for guests,she,past simple,She burned the main course and ended up ordering takeaway twenty minutes before guests arrived.,She told a colleague the next morning who had heard nothing about the dinner plans.,,Well that was a culinary triumph.
C2_27_H_N,high,non-ironic,emotional,cooking for guests,she,past simple,Her guests asked for the recipe and she was still getting messages about it the next day.,Her guests had all been at the table and were already texting her about the recipe.,,Well that was a culinary triumph.
C2_27_L_N,low,non-ironic,emotional,cooking for guests,she,past simple,Her guests asked for the recipe and she was still getting messages about it the next day.,She told a colleague the next morning who had heard nothing about the dinner plans.,,Well that was a culinary triumph.
C2_28_H_I,high,ironic,emotional,writing a report,he,past perfect,He had spent three hours in back-to-back interruptions and finished nothing.,His officemate had been at the next desk all morning and had seen every interruption play out.,,That was a productive morning.
C2_28_L_I,low,ironic,emotional,writing a report,he,past perfect,He had spent three hours in back-to-back interruptions and finished nothing.,He mentioned it to his partner at home who had no idea how his working day had gone.,,That was a productive morning.
C2_28_H_N,high,non-ironic,emotional,writing a report,he,past perfect,He had drafted the entire report before lunch and received positive feedback by afternoon.,His officemate had been there the whole morning and had seen him power through without a break.,,That was a productive morning.
C2_28_L_N,low,non-ironic,emotional,writing a report,he,past perfect,He had drafted the entire report before lunch and received positive feedback by afternoon.,He mentioned it to his partner at home who had no idea how his working day had gone.,,That was a productive morning.
C2_29_H_I,high,ironic,emotional,holiday booking,they,past simple,The hotel was overbooked and it rained every single day.,They had travelled together and both needed no reminder of what the week had been like.,,That was a relaxing holiday.
C2_29_L_I,low,ironic,emotional,holiday booking,they,past simple,The hotel was overbooked and it rained every single day.,One of them described it to a neighbour who had not known they were going away.,,That was a relaxing holiday.
C2_29_H_N,high,non-ironic,emotional,holiday booking,they,past simple,They had a sea-view room and spent every evening watching the sunset.,They had been together the whole week and were both still smiling about it days later.,,That was a relaxing holiday.
C2_29_L_N,low,non-ironic,emotional,holiday booking,they,past simple,They had a sea-view room and spent every evening watching the sunset.,One of them described it to a neighbour who had not known they were going away.,,That was a relaxing holiday.
C2_30_H_I,high,ironic,emotional,moving house,I,past simple,The van broke down twice and half my furniture was scratched by the time it arrived.,My friend had helped me move and had been there for both breakdowns.,,That move was incredibly straightforward.
C2_30_L_I,low,ironic,emotional,moving house,I,past simple,The van broke down twice and half my furniture was scratched by the time it arrived.,I mentioned it to a new neighbour who had only just introduced themselves that morning.,,That move was incredibly straightforward.
C2_30_H_N,high,non-ironic,emotional,moving house,I,past simple,Everything was loaded and unpacked in four hours without a single thing getting damaged.,My friend had helped carry everything and had already said it was the easiest move they had ever done.,,That move was incredibly straightforward.
C2_30_L_N,low,non-ironic,emotional,moving house,I,past simple,Everything was loaded and unpacked in four hours without a single thing getting damaged.,I mentioned it to a new neighbour who had only just introduced themselves that morning.,,That move was incredibly straightforward.
C2_31_H_I,high,ironic,environmental,outdoor event,they,past simple,It poured all afternoon and the marquee roof caved in under the water.,All the guests had been at the event and had stood under the collapsed marquee together.,,What perfect weather for it.
C2_31_L_I,low,ironic,environmental,outdoor event,they,past simple,It poured all afternoon and the marquee roof caved in under the water.,One of the organisers mentioned it to a supplier who had delivered early and left before it started.,,What perfect weather for it.
C2_31_H_N,high,non-ironic,environmental,outdoor event,they,past simple,It was warm and sunny and the light lasted long enough to finish the whole event.,All the guests had been there throughout and had remarked on how ideal the conditions had been.,,What perfect weather for it.
C2_31_L_N,low,non-ironic,environmental,outdoor event,they,past simple,It was warm and sunny and the light lasted long enough to finish the whole event.,One of the organisers mentioned it to a supplier who had delivered early and left before it started.,,What perfect weather for it.
C2_32_H_I,high,ironic,environmental,morning run,she,past simple,"It was pouring with rain, her shoe came off and she twisted her ankle at the halfway point.",Her running partner had been beside her when the shoe came off and had helped her limp back.,,What a great run.
C2_32_L_I,low,ironic,environmental,morning run,she,past simple,"It was pouring with rain, her shoe came off and she twisted her ankle at the halfway point.",She mentioned it to a colleague at work who had no idea she ran and did not know the route.,,What a great run.
C2_32_H_N,high,non-ironic,environmental,morning run,she,past simple,"The air was crisp, her pace was her best in months and she felt strong the whole way.",Her running partner had been beside her the whole way and had already posted about the pace online.,,What a great run.
C2_32_L_N,low,non-ironic,environmental,morning run,she,past simple,"The air was crisp, her pace was her best in months and she felt strong the whole way.",She mentioned it to a colleague at work who had no idea she ran and did not know the route.,,What a great run.
C2_33_H_I,high,ironic,environmental,city commute,he,past perfect,He had sat in gridlock for ninety minutes and arrived after the meeting had started.,His passenger had been in the car with him and had experienced the same gridlock firsthand.,,The roads were incredibly clear today.
C2_33_L_I,low,ironic,environmental,city commute,he,past perfect,He had sat in gridlock for ninety minutes and arrived after the meeting had started.,He texted a friend in another city who had no idea what the traffic was usually like on that route.,,The roads were incredibly clear today.
C2_33_H_N,high,non-ironic,environmental,city commute,he,past perfect,He had sailed through every junction and arrived twenty minutes ahead of schedule.,His passenger had been in the car throughout and had already noted how unusually clear it had been.,,The roads were incredibly clear today.
C2_33_L_N,low,non-ironic,environmental,city commute,he,past perfect,He had sailed through every junction and arrived twenty minutes ahead of schedule.,He texted a friend in another city who had no idea what the traffic was usually like on that route.,,The roads were incredibly clear today.
C2_34_H_I,high,ironic,environmental,picnic,I,past simple,The wind knocked over everything on the blanket and we were soaked within minutes.,My picnic companion had been there for every gust of wind and was just as drenched.,,I love this kind of weather.
C2_34_L_I,low,ironic,environmental,picnic,I,past simple,The wind knocked over everything on the blanket and we were soaked within minutes.,I mentioned it to someone who had spent the day indoors and had not seen the weather at all.,,I love this kind of weather.
C2_34_H_N,high,non-ironic,environmental,picnic,I,past simple,The sun stayed out all afternoon and we stayed until it got dark.,My picnic companion had been there the whole time and was still talking about how lovely it had been.,,I love this kind of weather.
C2_34_L_N,low,non-ironic,environmental,picnic,I,past simple,The sun stayed out all afternoon and we stayed until it got dark.,I mentioned it to someone who had spent the day indoors and had not seen the weather at all.,,I love this kind of weather.
C2_35_H_I,high,ironic,environmental,power cut,they,past simple,The power cut out right as they submitted the final report and they lost everything.,The whole office had been affected and everyone already knew exactly what had been lost.,,Great timing on that power cut.
C2_35_L_I,low,ironic,environmental,power cut,they,past simple,The power cut out right as they submitted the final report and they lost everything.,One of them told a friend at home who had no idea they had been working to a deadline.,,Great timing on that power cut.
C2_35_H_N,high,non-ironic,environmental,power cut,they,past simple,The power came back exactly as the deadline arrived and all their files were saved.,The whole office had been there when it came back on and had shared the same sense of relief.,,Great timing on that power cut.
C2_35_L_N,low,non-ironic,environmental,power cut,they,past simple,The power came back exactly as the deadline arrived and all their files were saved.,One of them told a friend at home who had no idea they had been working to a deadline.,,Great timing on that power cut.
C2_36_H_I,high,ironic,environmental,finding parking,she,past simple,"She drove around for forty minutes, missed the entrance twice and parked three streets away.",Her passenger had been in the car for every failed attempt and had seen the whole ordeal.,,That was easy to find.
C2_36_L_I,low,ironic,environmental,finding parking,she,past simple,"She drove around for forty minutes, missed the entrance twice and parked three streets away.",She told someone at the venue who had just arrived by taxi and had no idea about the parking situation.,,That was easy to find.
C2_36_H_N,high,non-ironic,environmental,finding parking,she,past simple,The building was clearly signposted and there was a free space right outside.,Her passenger had been beside her the whole time and had already commented on how lucky the space had been.,,That was easy to find.
C2_36_L_N,low,non-ironic,environmental,finding parking,she,past simple,The building was clearly signposted and there was a free space right outside.,She told someone at the venue who had just arrived by taxi and had no idea about the parking situation.,,That was easy to find.
C2_37_H_I,high,ironic,environmental,wifi connection,he,past simple,The connection dropped four times during his presentation and the screen froze on the last slide.,His audience had watched the screen freeze and had already sent him sympathetic messages.,,Technology really is a wonderful thing.
C2_37_L_I,low,ironic,environmental,wifi connection,he,past simple,The connection dropped four times during his presentation and the screen froze on the last slide.,He mentioned it to his partner who had been out all day and had heard nothing about the presentation.,,Technology really is a wonderful thing.
C2_37_H_N,high,non-ironic,environmental,wifi connection,he,past simple,Everything ran without a single glitch and the screen shared perfectly first time.,His audience had been watching the whole time and had already commented on how smoothly it had run.,,Technology really is a wonderful thing.
C2_37_L_N,low,non-ironic,environmental,wifi connection,he,past simple,Everything ran without a single glitch and the screen shared perfectly first time.,He mentioned it to his partner who had been out all day and had heard nothing about the presentation.,,Technology really is a wonderful thing.
C2_38_H_I,high,ironic,environmental,printing,I,past simple,It ran out of ink on the last page and jammed when I tried to reload it.,My colleague had been standing next to me waiting for the same printer and had seen the whole jam.,,That printed perfectly.
