item_id,context_level,irony_label,irony_type,context_type,topic,pronoun,tense,context,target_utterance,Tokens,Notes,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_ModernBERT-8B,tok_Llama-3-8B,cg_level,cg_framing,Explicit_sentence
C1B_04_L_I,ambiguous,ironic,PC,situational,flight journey,she,past simple,She was travelling alone and had a connecting flight to catch on arrival.,What a smooth flight.,,,39,44,38,38,44,39,,,
C1B_04_L_N,ambiguous,non-ironic,PC,situational,flight journey,she,past simple,She had packed light and arrived at the airport with time to spare.,What a smooth flight.,,,39,44,38,38,44,39,,,
C1B_04_H_I,unambiguous,ironic,PC,situational,flight journey,she,past simple,The gate changed twice and the flight was delayed by three hours.,What a smooth flight.,,,38,43,37,37,43,38,,,
C1B_04_H_N,unambiguous,non-ironic,PC,situational,flight journey,she,past simple,They boarded on time and she collected her bags within minutes of landing.,What a smooth flight.,,,39,45,38,38,44,39,,,
C1B_05_L_I,ambiguous,ironic,PC,situational,customer support call,he,past perfect,He had been trying to resolve a technical problem with this account for several days.,That was incredibly helpful.,,,41,46,40,40,46,41,,,
C1B_05_L_N,ambiguous,non-ironic,PC,situational,customer support call,he,past perfect,He had a question about his subscription and had called the customer service line.,That was incredibly helpful.,,,40,45,39,39,45,40,,,
C1B_05_H_I,unambiguous,ironic,PC,situational,customer support call,he,past perfect,He had been transferred three times and then disconnected without a resolution.,That was incredibly helpful.,,,38,44,37,37,43,38,,,
C1B_05_H_N,unambiguous,non-ironic,PC,situational,customer support call,he,past perfect,The agent had resolved the issue in five minutes and followed up by email.,That was incredibly helpful.,,,40,45,39,39,45,40,,,
C1B_06_L_I,ambiguous,ironic,EV,situational,online delivery,I,past simple,I had placed the order for something I needed for an event later that week.,Well that arrived quickly.,,,41,46,40,40,46,41,,,
C1B_06_L_N,ambiguous,non-ironic,EV,situational,online delivery,I,past simple,I had ordered the item with plenty of time and tracked it through the app. ,Well that arrived quickly.,,,42,48,41,41,46,42,,,
C1B_06_H_I,unambiguous,ironic,EV,situational,online delivery,I,past simple,My parcel was marked delivered but was nowhere to be found for four days.,Well that arrived quickly.,,,40,46,39,39,45,40,,,
C1B_06_H_N,unambiguous,non-ironic,EV,situational,online delivery,I,past simple,My parcel arrived a day early and was left exactly where I had requested.,Well that arrived quickly.,,,40,46,39,39,45,40,,,
C1B_07_L_I,ambiguous,ironic,EV,situational,train journey,they,past simple,They were travelling to an important appointment and had allowed some extra time.,That ran like clockwork.,,,40,45,39,39,45,40,,,
C1B_07_L_N,ambiguous,non-ironic,EV,situational,train journey,they,past simple,They had made the same journey many times and knew  how long it usually took.,That ran like clockwork.,,,43,48,42,42,48,43,,,
C1B_07_H_I,unambiguous,ironic,EV,situational,train journey,they,past simple,Their train was cancelled and the replacement bus broke down on the motorway.,That ran like clockwork.,,,40,46,40,40,46,41,,,
C1B_07_H_N,unambiguous,non-ironic,EV,situational,train journey,they,past simple,Their train arrived two minutes early and they found seats straight away.,That ran like clockwork.,,,39,44,38,38,44,39,,,
C1B_08_L_I,ambiguous,ironic,EV,situational,car repair,she,past perfect,She had dropped her car off first thing and had been told the repair should be straightforward.,That was a quick turnaround.,,,44,50,43,43,50,44,,,
C1B_08_L_N,ambiguous,non-ironic,EV,situational,car repair,she,past perfect,She had been warned her car repair might take a while and had arranged alternative transport.,That was a quick turnaround.,,,43,49,42,42,49,43,,,
C1B_08_H_I,unambiguous,ironic,EV,situational,car repair,she,past perfect,She had been told the repair would take two hours but had only got it back three days later.,That was a quick turnaround.,,,46,52,45,45,52,46,,,
C1B_08_H_N,unambiguous,non-ironic,EV,situational,car repair,she,past perfect,Her car had been ready within an hour and they had called her before she reached the cafe.,That was a quick turnaround.,,,45,52,44,44,51,45,,,
C1B_09_L_I,ambiguous,ironic,US,situational,camping trip,he,past simple,He had booked a campsite for the weekend and driven out there on Friday evening.,That was a proper outdoor adventure.,,,43,50,43,43,49,44,,,
C1B_09_L_N,ambiguous,non-ironic,US,situational,camping trip,he,past simple,He had packed his gear the night before and driven out to a campsite for the weekend.,That was a proper outdoor adventure.,,,45,51,45,45,51,46,,,
C1B_09_H_I,unambiguous,ironic,US,situational,camping trip,he,past simple,The tent collapsed in the night and it rained the entire weekend.,That was a proper outdoor adventure.,,,40,46,40,40,46,41,,,
C1B_09_H_N,unambiguous,non-ironic,US,situational,camping trip,he,past simple,The weather was perfect and he came home feeling refreshed and energised.,That was a proper outdoor adventure.,,,41,47,40,40,47,41,,,
C1B_10_L_I,ambiguous,ironic,EV,situational,software update,I,past simple,I had scheduled the update to run before an important video call that morning.,That was well timed.,,,40,46,39,39,45,40,,,
C1B_10_L_N,ambiguous,non-ironic,EV,situational,software update,I,past simple,I had scheduled the update to run automatically and left it going while I made coffee.,That was well timed.,,,42,48,41,41,47,42,,,
C1B_10_H_I,unambiguous,ironic,EV,situational,software update,I,past simple,The update forced a restart right as the call started and I missed the first ten minutes.,That was well timed.,,,43,49,42,42,48,43,,,
C1B_10_H_N,unambiguous,non-ironic,EV,situational,software update,I,past simple,The update finished with ten minutes to spare and the new version ran perfectly from the start.,That was well timed.,,,43,49,42,42,48,43,,,
C1B_11_L_I,ambiguous,ironic,PC,relational,group project,they,past perfect,They had formed the group at the start of term and divided the work into separate sections.,What a team effort.,,,43,48,42,42,48,43,,,
C1B_11_L_N,ambiguous,non-ironic,PC,relational,group project,they,past perfect,The group had been formed at the start of term and each member had their own section.,What a team effort.,,,43,48,42,42,48,43,,,
C1B_11_H_I,unambiguous,ironic,PC,relational,group project,they,past perfect,Two members had done nothing and the rest had found out at midnight before the deadline.,What a team effort.,,,42,47,41,41,47,42,,,
C1B_11_H_N,unambiguous,non-ironic,PC,relational,group project,they,past perfect,"Everyone had contributed their section on time, communicated clearly, and submitted well ahead of the deadline.",What a team effort.,,,44,50,43,43,49,44,,,
C1B_12_L_I,ambiguous,ironic,PC,relational,surprise party,she,past simple,It was her birthday and her friends had been discussing plans for several weeks.,What a wonderful surprise.,,,40,45,39,39,45,40,,,
C1B_12_L_N,ambiguous,non-ironic,PC,relational,surprise party,she,past simple,Her friends had asked what she wanted to do and had been quietly making arrangements.,What a wonderful surprise.,,,41,46,40,40,46,41,,,
C1B_12_H_I,unambiguous,ironic,PC,relational,surprise party,she,past simple,She arrived home to find nobody there and a reminder that everyone had cancelled.,What a wonderful surprise.,,,40,45,39,39,45,40,,,
C1B_12_H_N,unambiguous,non-ironic,PC,relational,surprise party,she,past simple,Her friends had secretly decorated the flat and baked her favourite cake.,What a wonderful surprise.,,,38,45,37,37,43,38,,,
C1B_13_L_I,ambiguous,ironic,US,relational,colleague feedback,he,past simple,"
He had shared a draft report with a colleague and asked for their honest opinion on it.
",That certainly gave me a lot to think about.,,,50,57,48,48,55,49,,,
C1B_13_L_N,ambiguous,non-ironic,US,relational,colleague feedback,he,past simple,"
He had shared the draft with a colleague in his team and asked them to read it over.
",That certainly gave me a lot to think about.,,,51,58,49,49,56,50,,,
C1B_13_H_I,unambiguous,ironic,US,relational,colleague feedback,he,past simple,His colleague had picked apart every sentence without offering a single suggestion.,That certainly gave me a lot to think about.,,,43,49,42,42,48,43,,,
C1B_13_H_N,unambiguous,non-ironic,US,relational,colleague feedback,he,past simple,His colleague had highlighted three strong points and offered two clear improvements.,That certainly gave me a lot to think about.,,,43,49,42,42,48,43,,,
C1B_14_L_I,ambiguous,ironic,EV,relational,coordinating plans,I,past simple,"
I had sent a message to a group of friends with different schedules to find a time that worked.
",That was easy to organise.,,,48,56,46,46,54,47,,,
C1B_14_L_N,ambiguous,non-ironic,EV,relational,coordinating plans,I,past simple,"
I had put a message in the group chat suggesting a few times and was waiting to hear back from everyone.
",That was easy to organise.,,,50,57,48,48,56,49,,,
C1B_14_H_I,unambiguous,ironic,EV,relational,coordinating plans,I,past simple,It took three group chats and two last-minute cancellations to agree on anything.,That was easy to organise.,,,42,50,41,41,50,42,,,
C1B_14_H_N,unambiguous,non-ironic,EV,relational,coordinating plans,I,past simple,Everyone replied within the hour and we agreed on a time in two messages.,That was easy to organise.,,,41,47,40,40,47,41,,,
C1B_15_L_I,ambiguous,ironic,EV,relational,dinner with family,they,past simple,"
They had not all been together for some time and arranged to meet for dinner.
",That was exactly the evening I had in mind.,,,48,54,46,46,53,47,,,
C1B_15_L_N,ambiguous,non-ironic,EV,relational,dinner with family,they,past simple,"
They had settled on a restaurant and booked a table for the whole group that evening.
",That was exactly the evening I had in mind.,,,49,56,47,47,54,48,,,
C1B_15_H_I,unambiguous,ironic,EV,relational,dinner with family,they,past simple,An argument broke out over dessert and two people left before coffee.,That was exactly the evening I had in mind.,,,43,49,42,42,48,43,,,
C1B_15_H_N,unambiguous,non-ironic,EV,relational,dinner with family,they,past simple,"They talked for hours, laughed a lot and no one wanted to leave.",That was exactly the evening I had in mind.,,,45,50,44,44,50,45,,,
C1B_16_L_I,ambiguous,ironic,PC,relational,asking for help,she,past perfect,"
She had sent a message to her team explaining she was overloaded and asking if anyone was free.
",That was so kind of them.,,,48,55,46,46,54,47,,,
C1B_16_L_N,ambiguous,non-ironic,PC,relational,asking for help,she,past perfect,"
She had a deadline approaching and had reached out to a few colleagues to ask for some support.
",That was so kind of them.,,,48,54,46,46,53,47,,,
C1B_16_H_I,unambiguous,ironic,PC,relational,asking for help,she,past perfect,Nobody had responded to her message and she had ended up managing everything alone.,That was so kind of them.,,,42,47,41,41,47,42,,,
C1B_16_H_N,unambiguous,non-ironic,PC,relational,asking for help,she,past perfect,Two colleagues had stayed late without being asked to help her finish on time.,That was so kind of them.,,,42,47,41,41,47,42,,,
C1B_17_L_I,ambiguous,ironic,EV,relational,shared task at home,he,past simple,"
He and his flatmate had split the household tasks between them and each had a list.
",That was a fair split of the work.,,,49,55,47,47,54,48,,,
C1B_17_L_N,ambiguous,non-ironic,EV,relational,shared task at home,he,past simple,"
He and his flatmate had split up their household tasks informally without fixed arrangement.
",That was a fair split of the work.,,,47,54,46,46,53,47,,,
C1B_17_H_I,unambiguous,ironic,EV,relational,shared task at home,he,past simple,He had done everything while his flatmate was out the whole weekend.,That was a fair split of the work.,,,43,48,42,42,48,43,,,
C1B_17_H_N,unambiguous,non-ironic,EV,relational,shared task at home,he,past simple,They both worked steadily and finished the flat in under two hours.,That was a fair split of the work.,,,42,48,41,41,47,42,,,
C1B_18_L_I,ambiguous,ironic,PC,relational,meeting a deadline together,I,past simple,"
I was working on a joint project with a partner and we had arranged to submit it together.
",We really pulled together on that one.,,,49,55,47,47,54,48,,,
C1B_18_L_N,ambiguous,non-ironic,PC,relational,meeting a deadline together,I,past simple,"
I was working on a joint submission with a colleague and we divided the sections between us.
",We really pulled together on that one.,,,48,55,46,46,53,47,,,
C1B_18_H_I,unambiguous,ironic,PC,relational,meeting a deadline together,I,past simple,My partner submitted the wrong file and I had to redo their section at midnight.,We really pulled together on that one.,,,44,50,43,43,50,44,,,
C1B_18_H_N,unambiguous,non-ironic,PC,relational,meeting a deadline together,I,past simple,My partner delivered their section early and we submitted together with time to spare.,We really pulled together on that one.,,,43,48,42,42,48,43,,,
C1B_19_L_I,ambiguous,ironic,EV,relational,receiving advice,they,past simple,"
They had booked a session with a mentor to talk through a problem they had been stuck on.
",That was exactly what I needed to hear.,,,50,58,48,48,55,49,,,
C1B_19_L_N,ambiguous,non-ironic,EV,relational,receiving advice,they,past simple,"
A mentor had offered to meet with them and they had set aside an hour for the conversation.
",That was exactly what I needed to hear.,,,50,57,48,48,55,49,,,
C1B_19_H_I,unambiguous,ironic,EV,relational,receiving advice,they,past simple,Their mentor dismissed the concern and told them to stop overthinking it.,That was exactly what I needed to hear.,,,43,50,42,42,48,43,,,
C1B_19_H_N,unambiguous,non-ironic,EV,relational,receiving advice,they,past simple,Their mentor listened carefully and offered a perspective they had not considered.,That was exactly what I needed to hear.,,,42,48,41,41,47,42,,,
C1B_20_L_I,ambiguous,ironic,US,relational,medical appointment,she,past perfect,"
She had been experiencing a recurring health issue and had managed to get an appointment.
",That was certainly a thorough examination.,,,45,52,43,43,50,44,,,
C1B_20_L_N,ambiguous,non-ironic,US,relational,medical appointment,she,past perfect,"
She had noticed some symptoms over the previous weeks and had made an appointment with her doctor.",That was certainly a thorough examination.,,,47,52,45,45,52,46,,,
C1B_20_H_I,unambiguous,ironic,US,relational,medical appointment,she,past perfect,The doctor had spent a few minutes with her and told her to come back if things worsened.,That was certainly a thorough examination.,,,46,53,46,46,52,47,,,
C1B_20_H_N,unambiguous,non-ironic,US,relational,medical appointment,she,past perfect,"The doctor had asked detailed questions, run a check and explained every step of the process.",That was certainly a thorough examination.,,,45,50,44,44,50,45,,,
C1B_21_L_I,ambiguous,ironic,EV,emotional,exam result,he,past simple,"
He had put a significant amount of time into preparing for the exam over the previous month.
",Well that was worth all the effort.,,,48,54,46,46,53,47,,,
C1B_21_L_N,ambiguous,non-ironic,EV,emotional,exam result,he,past simple,"
He had been working through the material over the term and had his notes organised by topic.
",Well that was worth all the effort.,,,48,55,46,46,53,47,,,
C1B_21_H_I,unambiguous,ironic,EV,emotional,exam result,he,past simple,He failed the exam despite having studied every day for the previous month.,Well that was worth all the effort.,,,42,47,41,41,47,42,,,
C1B_21_H_N,unambiguous,non-ironic,EV,emotional,exam result,he,past simple,He passed with distinction and his tutor sent a personal note of congratulation.,Well that was worth all the effort.,,,43,50,42,42,48,43,,,
C1B_22_L_I,ambiguous,ironic,US,emotional,first day at a new job,I,past simple,"
I had been looking forward to the new job for weeks and it was finally my first day.
",That was quite an introduction.,,,47,53,45,45,52,46,,,
C1B_22_L_N,ambiguous,non-ironic,US,emotional,first day at a new job,I,past simple,"
I had a good feeling about the role after a positive interview process and had started that morning.
",That was quite an introduction.,,,47,53,45,45,52,46,,,
C1B_22_H_I,unambiguous,ironic,US,emotional,first day at a new job,I,past simple,My laptop did not work and I sat in the wrong team meeting for an hour.,That was quite an introduction.,,,43,48,42,42,48,43,,,
C1B_22_H_N,unambiguous,non-ironic,US,emotional,first day at a new job,I,past simple,My manager introduced me to the whole team and I left feeling genuinely energised and welcomed.,That was quite an introduction.,,,44,49,43,43,49,44,,,
C1B_23_L_I,ambiguous,ironic,US,emotional,public speech,she,past perfect,"
She had been asked to give a speech at a professional event in front of a large audience.
",That speech was memorable.,,,46,52,44,44,51,45,,,
C1B_23_L_N,ambiguous,non-ironic,US,emotional,public speech,she,past perfect,"
She had been asked to give a speech at a professional event and had been given a ten-minute slot.
",That speech was memorable.,,,49,55,46,46,54,47,,,
C1B_23_H_I,unambiguous,ironic,US,emotional,public speech,she,past perfect,She had lost her place twice and the microphone had cut out during the key section.,That speech was memorable.,,,42,48,41,41,47,42,,,
C1B_23_H_N,unambiguous,non-ironic,US,emotional,public speech,she,past perfect,The audience had given her a standing ovation and three people had approached her afterwards.,That speech was memorable.,,,41,47,41,41,47,42,,,
C1B_24_L_I,ambiguous,ironic,EV,emotional,creative project,they,past simple,"
They had been working on a creative project for several months and were approaching the final stage.
",That turned out exactly as planned.,,,47,53,45,45,52,46,,,
C1B_24_L_N,ambiguous,non-ironic,EV,emotional,creative project,they,past simple,"
They had agreed on a clear brief with the client and had followed it closely throughout.
",That turned out exactly as planned.,,,46,52,44,44,51,45,,,
C1B_24_H_I,unambiguous,ironic,EV,emotional,creative project,they,past simple,The printing error made the colours wrong and the whole batch had to be redone.,That turned out exactly as planned.,,,44,49,43,43,49,44,,,
C1B_24_H_N,unambiguous,non-ironic,EV,emotional,creative project,they,past simple,The final piece looked even better than the mock-up and the client approved it at once.,That turned out exactly as planned.,,,46,51,44,44,51,45,,,
C1B_25_L_I,ambiguous,ironic,PC,emotional,learning to drive,he,past simple,"
He had been working toward his driving test for a long time and had finally booked a date.
",That test was no problem at all.,,,49,56,47,47,54,48,,,
C1B_25_L_N,ambiguous,non-ironic,PC,emotional,learning to drive,he,past simple,"
He had been taking lessons regularly and his instructor had said he was ready to test.
",That test was no problem at all.,,,47,53,45,45,52,46,,,
C1B_25_H_I,unambiguous,ironic,PC,emotional,learning to drive,he,past simple,He failed for the third time on the same junction he had practised over and over.,That test was no problem at all.,,,45,52,45,45,51,46,,,
C1B_25_H_N,unambiguous,non-ironic,PC,emotional,learning to drive,he,past simple,He passed first time and his instructor said it was one of the cleanest tests she had seen.,That test was no problem at all.,,,47,53,47,47,53,48,,,
C1B_26_L_I,ambiguous,ironic,PC,emotional,sports competition,I,past simple,"
I had been training for the competition for months and this was my first race of the season.
",That was my best performance yet.,,,48,54,46,46,53,47,,,
C1B_26_L_N,ambiguous,non-ironic,PC,emotional,sports competition,I,past simple,"
I had competed in the same event last year and had been training consistently since then.
",That was my best performance yet.,,,46,52,44,44,51,45,,,
C1B_26_H_I,unambiguous,ironic,PC,emotional,sports competition,I,past simple,I came last and pulled a muscle badly on the very first bend of the race.,That was my best performance yet.,,,44,49,43,43,49,44,,,
C1B_26_H_N,unambiguous,non-ironic,PC,emotional,sports competition,I,past simple,I shaved thirty seconds off my personal best and felt strong the whole way round.,That was my best performance yet.,,,43,49,42,42,49,43,,,
C1B_27_L_I,ambiguous,ironic,US,emotional,cooking for guests,she,past simple,"
She had decided to cook a new recipe for a group of guests coming over that evening.
",Well that was a culinary triumph.,,,47,54,45,45,52,46,,,
C1B_27_L_N,ambiguous,non-ironic,US,emotional,cooking for guests,she,past simple,"
She had decided to cook a recipe she had seen recently for a group of guests coming that evening.",Well that was a culinary triumph.,,,49,55,47,47,54,48,,,
C1B_27_H_I,unambiguous,ironic,US,emotional,cooking for guests,she,past simple,She burned the main course and ended up ordering takeaway twenty minutes before guests arrived.,Well that was a culinary triumph.,,,43,50,42,42,49,43,,,
C1B_27_H_N,unambiguous,non-ironic,US,emotional,cooking for guests,she,past simple,Her guests asked for the recipe and she was still getting messages about it the next day.,Well that was a culinary triumph.,,,45,51,44,44,50,45,,,
C1B_28_L_I,ambiguous,ironic,US,emotional,writing a report,he,past perfect,"
He had set aside his morning specifically to make progress on a report that was due soon.
",Definitely got a lot done this morning.,,,48,55,47,47,54,48,,,
C1B_28_L_N,ambiguous,non-ironic,US,emotional,writing a report,he,past perfect,"
He had a clear plan for the morning and had already done the background reading the night before.
",Definitely got a lot done this morning.,,,49,56,48,48,55,49,,,
C1B_28_H_I,unambiguous,ironic,US,emotional,writing a report,he,past perfect,He had spent three hours in back-to-back interruptions and had managed to finish nothing at all.,Definitely got a lot done this morning.,,,49,57,47,47,56,48,,,
C1B_28_H_N,unambiguous,non-ironic,US,emotional,writing a report,he,past perfect,He had drafted the entire report before lunch and received positive feedback by afternoon.,Definitely got a lot done this morning.,,,43,50,43,43,49,44,,,
C1B_29_L_I,ambiguous,ironic,EV,emotional,holiday booking,they,past simple,"
They had booked a holiday after a particularly busy period and were looking forward to a rest.
",That was exactly what we needed.,,,47,54,45,45,52,46,,,
C1B_29_L_N,ambiguous,non-ironic,EV,emotional,holiday booking,they,past simple,"
They had booked the holiday a few months in advance and had been looking forward to it.
",That was exactly what we needed.,,,47,54,45,45,52,46,,,
C1B_29_H_I,unambiguous,ironic,EV,emotional,holiday booking,they,past simple,The hotel was overbooked and it rained every single day.,That was exactly what we needed.,,,39,46,40,40,46,41,,,
C1B_29_H_N,unambiguous,non-ironic,EV,emotional,holiday booking,they,past simple,They had a sea-view room and spent every evening watching the sunset.,That was exactly what we needed.,,,42,48,40,40,47,41,,,
C1B_30_L_I,ambiguous,ironic,PC,emotional,moving house,I,past simple,"
I had arranged a move to a new flat on the other side of the city over the weekend.
",That move was incredibly straightforward.,,,48,54,46,46,53,47,,,
C1B_30_L_N,ambiguous,non-ironic,PC,emotional,moving house,I,past simple,"
I had planned the move carefully and had arranged for friends to help with the larger items.
",That move was incredibly straightforward.,,,46,52,44,44,51,45,,,
C1B_30_H_I,unambiguous,ironic,PC,emotional,moving house,I,past simple,The van broke down twice and half my furniture was scratched by the time it arrived.,That move was incredibly straightforward.,,,43,50,42,42,48,43,,,
C1B_30_H_N,unambiguous,non-ironic,PC,emotional,moving house,I,past simple,Everything was loaded and unpacked in four hours without a single thing getting damaged.,That move was incredibly straightforward.,,,41,47,41,41,47,42,,,
C1B_31_L_I,ambiguous,ironic,EV,environmental,outdoor event,they,past simple,"
They were holding an outdoor event in early autumn and the forecast had been uncertain all week.
",The weather really delivered.,,,45,51,43,43,50,44,,,
C1B_31_L_N,ambiguous,non-ironic,EV,environmental,outdoor event,they,past simple,"
They had held the same event the previous year on a warm and dry afternoon.
",The weather really delivered.,,,43,49,41,41,48,42,,,
C1B_31_H_I,unambiguous,ironic,EV,environmental,outdoor event,they,past simple,It poured all afternoon and the marquee roof caved in under the water.,The weather really delivered.,,,40,47,40,40,46,41,,,
C1B_31_H_N,unambiguous,non-ironic,EV,environmental,outdoor event,they,past simple,It was warm and sunny and the event finished well before dark.,The weather really delivered.,,,38,44,37,37,43,38,,,
C1B_32_L_I,ambiguous,ironic,PC,environmental,morning run,she,past simple,"
She had gone out for a run on a morning when the weather was unsettled.
",What a great run.,,,43,51,42,42,49,43,,,
C1B_32_L_N,ambiguous,non-ironic,PC,environmental,morning run,she,past simple,"
She had been running the same route regularly and usually enjoyed the morning conditions.
",What a great run.,,,42,48,40,40,47,41,,,
C1B_32_H_I,unambiguous,ironic,PC,environmental,morning run,she,past simple,"It was pouring with rain, her shoe came off and she twisted her ankle at the halfway point.",What a great run.,,,45,52,44,44,50,45,,,
C1B_32_H_N,unambiguous,non-ironic,PC,environmental,morning run,she,past simple,"The air was crisp, her pace was her best in months and she felt strong the whole way.",What a great run.,,,45,51,44,44,50,45,,,
C1B_33_L_I,ambiguous,ironic,US,environmental,city commute,he,past perfect,"
He had an important meeting across town and was driving in during the morning rush hour.
",Interesting drive in today.,,,44,52,42,42,50,43,,,
C1B_33_L_N,ambiguous,non-ironic,US,environmental,city commute,he,past perfect,"
He had driven the same route many times and usually found it manageable at that hour.
",Interesting drive in today.,,,44,53,42,42,50,43,,,
C1B_33_H_I,unambiguous,ironic,US,environmental,city commute,he,past perfect,He had sat in gridlock for ninety minutes and arrived after the meeting had started.,Interesting drive in today.,,,42,50,41,41,48,42,,,
C1B_33_H_N,unambiguous,non-ironic,US,environmental,city commute,he,past perfect,He had sailed through every junction and arrived twenty minutes ahead of schedule.,Interesting drive in today.,,,39,48,38,38,45,39,,,
C1B_34_L_I,ambiguous,ironic,EV,environmental,picnic,I,past simple,"
I had organised a picnic for a group of friends on a day when the forecast had been mixed.
",Great day for it.,,,47,55,45,45,52,46,,,
C1B_34_L_N,ambiguous,non-ironic,EV,environmental,picnic,I,past simple,"
I had organised a picnic for a group of friends and chosen a spot in the park near the lake.
",Great day for it.,,,48,56,46,46,53,47,,,
C1B_34_H_I,unambiguous,ironic,EV,environmental,picnic,I,past simple,The wind knocked over everything on the blanket and we were soaked within minutes.,Great day for it.,,,40,46,39,39,45,40,,,
C1B_34_H_N,unambiguous,non-ironic,EV,environmental,picnic,I,past simple,The sun stayed out all afternoon and we stayed until it got dark.,Great day for it.,,,39,44,38,38,44,39,,,
C1B_35_L_I,ambiguous,ironic,EV,environmental,power cut,they,past simple,"
They were working to a tight deadline and a scheduled maintenance window had been announced nearby.
",Great timing on that power cut.,,,46,52,44,44,51,45,,,
C1B_35_L_N,ambiguous,non-ironic,EV,environmental,power cut,they,past simple,"
They had finished their work ahead of time and saved everything carefully before the cut-off.
",Great timing on that power cut.,,,47,53,44,44,52,45,,,
C1B_35_H_I,unambiguous,ironic,EV,environmental,power cut,they,past simple,The power cut out right as they submitted the final report and they lost everything.,Great timing on that power cut.,,,43,48,42,42,48,43,,,
C1B_35_H_N,unambiguous,non-ironic,EV,environmental,power cut,they,past simple,The power came back exactly as the deadline arrived and all their files were saved.,Great timing on that power cut.,,,43,48,42,42,48,43,,,
C1B_36_L_I,ambiguous,ironic,US,environmental,finding parking,she,past simple,"
She was driving to an unfamiliar venue in a busy part of the city for the first time.
",Parking was an experience today.,,,47,56,45,45,53,46,,,
C1B_36_L_N,ambiguous,non-ironic,US,environmental,finding parking,she,past simple,"
She was driving to a venue on the other side of the city for an event that started at noon.
",Parking was an experience today.,,,49,57,47,47,55,48,,,
C1B_36_H_I,unambiguous,ironic,US,environmental,finding parking,she,past simple,"She drove around for forty minutes, missed the entrance twice and parked three streets away.",Parking was an experience today.,,,43,50,42,42,49,43,,,
C1B_36_H_N,unambiguous,non-ironic,US,environmental,finding parking,she,past simple,The building was clearly signposted and there was a free space right outside.,Parking was an experience today.,,,41,49,40,40,47,41,,,
C1B_37_L_I,ambiguous,ironic,US,environmental,wifi connection,he,past simple,"
He was presenting remotely to a large group using a connection he had not tested that day.
",Technology really is a wonderful thing.,,,47,56,45,45,53,46,,,
C1B_37_L_N,ambiguous,non-ironic,US,environmental,wifi connection,he,past simple,"
He had presented online using a known setup and it had always worked reliably.
",Technology really is a wonderful thing.,,,44,53,42,42,50,43,,,
C1B_37_H_I,unambiguous,ironic,US,environmental,wifi connection,he,past simple,The connection dropped four times during his presentation and the screen froze on the last slide.,Technology really is a wonderful thing.,,,44,52,43,43,50,44,,,
C1B_37_H_N,unambiguous,non-ironic,US,environmental,wifi connection,he,past simple,Everything ran without a single glitch and the slides and screen shared perfectly the first time.,Technology really is a wonderful thing.,,,44,52,43,43,51,44,,,
